,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,1200.0,1082.9986533565607,0.0,0.0,0.0,0.0,1200.0,1094.9999260238951,0.0,
5,1200.0,1084.2213831585866,0.0,0.0,0.0,0.0,1200.0,1182.1682631380008,0.0,
8,1200.0,1083.8455068850355,0.0,0.0,0.0,0.0,1200.0,1182.9998128649108,0.0,
11,1200.0,1124.1438115769322,0.0,0.0,0.0,0.0,838.456099937922,1200.0,169.8269888055547,
13,1200.0,1124.1438216543231,0.0,0.0,0.0,0.0,838.4536419245059,1200.0,169.82947388314844,
14,875.8883679036817,1200.0,0.0,0.0,0.0,0.0,879.7832198557928,1200.0,245.90548889836978,
25,890.0418737434447,1200.0,0.0,0.0,0.0,0.0,847.3416864722366,1200.0,248.47719252123716,
26,890.0418760348188,1200.0,0.0,0.0,0.0,0.0,847.3416372771279,1200.0,248.477243220169,
29,890.0859898856147,1200.0,0.0,0.0,0.0,0.0,846.3945254866704,1200.0,249.45330686705515,
38,872.4429988682625,1200.0,225.0435925746672,0.0,0.0,0.0,857.0201143410089,1200.0,227.2566703427858,
42,833.399882237837,1200.0,213.91614516291912,0.0,0.0,0.0,867.4296526256952,1200.0,237.81104433572392,
44,833.3632624204073,1200.0,213.9572736395641,0.0,0.0,0.0,867.4740191819644,1200.0,237.7624949089569,
47,833.3338520807624,1200.0,213.99022623553245,0.0,0.0,0.0,867.5058825326079,1200.0,237.72752411956048,
48,822.3805381566943,1200.0,215.05076200167088,0.0,0.0,0.0,869.3724408909972,1200.0,239.73088062612433,
49,832.5660085198277,1200.0,224.08220789274526,0.0,0.0,0.0,830.3393490914433,1200.0,229.88622846793226,
52,832.5661368165803,1200.0,224.0820698093317,0.0,0.0,0.0,830.3392147028985,1200.0,229.88638254299443,
53,832.5661368657667,1200.0,224.0820697564091,0.0,0.0,0.0,830.3392146516354,1200.0,229.8863826017646,
55,833.0837485451265,1200.0,223.51979601676018,0.0,0.0,0.0,829.7117242815266,1200.0,230.6066364679443,
60,801.8031229687914,1200.0,228.4287161462944,0.0,0.0,0.0,837.9151708452395,1200.0,235.03019297234079,
76,801.9999976363576,1200.0,228.19525269970038,0.0,0.0,0.0,837.5066323646624,1200.0,235.50543970793686,
101,794.3806797282459,1200.0,228.15345561018287,0.0,0.0,0.0,840.4459778750879,1200.0,235.3249884814939,
105,794.2908372793119,1200.0,228.19835343042288,0.0,0.0,0.0,839.6430179793547,1200.0,236.25295493420688,
107,793.5946089401432,1200.0,228.95676274808525,0.0,0.0,0.0,840.6094581024387,1200.0,235.14238233890325,
130,795.7146972454752,1200.0,230.70401838786628,0.0,0.0,0.0,830.1866463385567,1200.0,234.70405543862563,
132,795.9412794776649,1200.0,230.46816019472868,0.0,0.0,0.0,829.8848031378488,1200.0,235.0257091784686,
134,795.9143052875661,1200.0,230.4972951112048,0.0,0.0,0.0,829.968869751598,1200.0,234.93591273491427,
156,799.0569596503193,1200.0,230.42642711098588,0.0,0.0,0.0,820.9293571407868,1200.0,235.9513733750314,
191,799.0663055768778,1200.0,230.4169829911611,0.0,0.0,0.0,820.917538507591,1200.0,235.96333163962942,
206,825.083197442655,1200.0,214.3806467443317,0.0,0.0,0.0,671.7632103844663,1200.0,451.4378241721909,
209,825.0841868222197,1200.0,214.3796466802965,0.0,0.0,0.0,671.7620718084185,1200.0,451.43897597115176,
210,825.0843749093327,1200.0,214.37945656206443,0.0,0.0,0.0,671.7618553331699,1200.0,451.43919496050285,
212,825.0957332593272,1200.0,214.36797470586006,0.0,0.0,0.0,671.7491129220916,1200.0,451.4520846219481,
215,825.10171363424,1200.0,214.36193143977516,0.0,0.0,0.0,671.7415729043303,1200.0,451.4597136753735,
242,825.1191117913803,1200.0,214.34436222505445,0.0,0.0,0.0,671.7150082762538,1200.0,451.4866014270668,
299,824.8912297367134,1200.0,214.57522451088633,0.0,0.0,0.0,671.7753486721147,1200.0,451.42601123105493,
366,824.8912197843613,1200.0,214.57523460338206,0.0,0.0,0.0,671.7753474242447,1200.0,451.42601252178326,
518,824.9795301504647,1200.0,214.48739664823512,0.0,0.0,0.0,671.5837460549801,1200.0,451.61882465676035,
689,824.9795293638018,1200.0,214.48739748652227,0.0,0.0,0.0,671.5837449451938,1200.0,451.61882574533206,
704,824.9795254197738,1200.0,214.4874014234581,0.0,0.0,0.0,671.5837509019585,1200.0,451.6188197630551,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,979.8102505648319,0.0,0.0,1200.0,912.9999384802996,0.0,0.0,0.0,0.0,
5,997.9607636534308,0.0,0.0,1200.0,900.7369334255795,0.0,0.0,0.0,0.0,
7,997.9663816946213,0.0,0.0,1200.0,900.7723754965324,0.0,0.0,0.0,0.0,
14,1065.0000457512258,0.0,0.0,1192.9125153042407,947.2602327979636,0.0,0.0,0.0,11.1955814434444,
19,1200.0,0.0,0.0,802.9999003776657,985.9905405829569,75.63079055773015,0.0,0.0,246.3622755024476,
21,1200.0,0.0,0.0,651.9220680151067,1060.8407822344523,0.0,0.0,0.0,306.8025748997248,
24,1200.0,0.0,0.0,593.6757154644812,1086.7979858448034,0.0,0.0,0.0,305.2944854892109,
37,1185.9999143134708,0.0,0.0,1200.0,826.7498951865998,0.0,0.0,0.0,326.8917227127374,
43,1118.9524375511605,0.0,0.0,1103.2077552792086,865.3872013105477,0.0,0.0,0.0,273.674076821868,
45,1130.9404698431074,0.0,0.0,1081.999937782987,869.5740302019537,0.0,0.0,0.0,284.76495220111946,
48,1131.5268861751617,0.0,0.0,1080.8940236702,870.9997410317869,0.0,0.0,0.0,281.7902851209381,
67,1122.9596477953978,0.0,0.0,1094.8980502653014,867.9784622639967,0.0,0.0,0.0,274.49868387622166,
70,1077.0809089152706,0.0,0.0,1090.6927333241315,876.9921079007456,0.0,0.0,0.0,280.3950559943939,
101,1074.356005807418,0.0,0.0,1094.9999146808136,876.5599872202744,0.0,0.0,0.0,277.56139478540445,
104,1074.5392833406218,0.0,0.0,1117.797020513692,861.3780175307603,0.0,0.0,0.0,277.837170803475,
107,1081.3348509891373,0.0,0.0,1103.9855226478858,864.8808542175366,0.0,0.0,0.0,282.9913594414558,
109,1077.9597920605784,0.0,0.0,1070.3219842930291,853.9156286948154,0.0,0.0,0.0,323.00001825661354,
137,1200.0,0.0,0.0,855.8739245777643,819.9984370774475,139.62427515988583,0.0,0.0,437.00001706484187,
141,1200.0,0.0,0.0,845.8757411892559,823.954647374634,134.37718923242667,0.0,0.0,446.99989600876364,
145,1200.0,0.9339058924484588,0.0,841.2590669530576,826.0130819101473,132.4883713474833,0.0,0.0,448.99988312969424,
147,1200.0,5.158073206128064,0.0,831.9999930625537,832.4049285968593,119.35903041689117,0.0,0.0,455.3549593511335,
149,1200.0,10.442525444130489,0.0,829.9999432113449,830.77598991461,109.58801836944525,0.0,0.0,457.2055766321445,
157,1200.0,14.254428516276013,0.0,825.7768959718999,833.9317126513706,96.0000099252553,0.0,0.0,468.3213247952725,
159,1200.0,14.959481910244563,0.0,816.4273626275216,836.6112644113523,97.99983445785989,0.0,0.0,470.63767704555875,
165,1200.0,24.501783190576663,0.0,800.8074651882041,846.408193983879,68.82564051741538,0.0,0.0,491.9764598815103,
172,1200.0,25.607944915481244,0.0,798.846421271955,847.9371847362266,72.25194925618605,0.0,0.0,491.9088257661778,
175,1200.0,24.46283938077663,0.0,798.8549155302549,847.7189428214854,76.96726256858538,0.0,0.0,486.6776467324735,
185,1200.0,5.78986883845304,0.0,759.9998312020058,856.9887702140996,120.73439840745122,0.0,0.0,441.6985716270421,
188,1200.0,3.260632354489036,0.0,694.8266482606654,883.7530773336679,109.85002765438006,0.0,0.0,437.0000453944218,
194,1200.0,25.34164200954686,0.0,649.9998568950492,903.865877173165,66.872114502942,0.0,0.0,472.96938689928163,
196,1200.0,26.999958710385847,0.0,647.7682195484343,905.5755840619579,59.93457797421033,0.0,0.0,478.46394377702967,
200,1200.0,33.720347229658444,0.0,633.6432854354817,913.9999345535205,37.20422090645456,0.0,0.0,495.5539729122197,
203,1200.0,35.7409191107938,0.0,626.7447705240817,916.9999730588424,33.91841770686808,0.0,1.5210375719345373,495.3492804362059,
204,1200.0,40.728597915597405,0.0,614.8978642142802,923.8049194200287,29.88487618342094,0.0,0.0,480.41745440226714,
206,1200.0,44.294311243306524,0.0,600.5049321499906,931.2843611376545,23.999986141808645,0.0,0.7695871110969188,480.8478318208725,
208,1200.0,48.58491033524632,0.0,591.711371333862,935.9998618181696,12.609950783354932,0.0,2.8416251748311487,485.92632183240823,
215,1200.0,49.81158863336046,0.0,588.9997544859043,938.5699729347394,15.363656411883348,0.0,0.0,472.4594203007521,
217,1200.0,61.92221167089075,0.0,542.7614687956698,956.8461574727478,2.8718012152707924,0.0,17.999997711238215,454.6118877023805,
453,1200.0,69.00000597593964,0.0,539.9710461659271,957.9360249095214,0.0,0.0,19.6418385953102,453.6790226312954,
456,1200.0,72.99997368433759,0.0,524.5953707487805,962.4006500773214,0.21574753886935136,0.0,19.681484009919348,459.6309928082571,
459,1200.0,72.93541263835901,0.0,524.9794196817684,962.6228919010424,0.0,0.0,19.999960592105257,458.62174643492193,
472,1200.0,73.69300057102267,0.0,521.9999508978622,963.4707715932816,0.0,0.0,20.97611543485524,457.63411426561555,
478,1200.0,73.28454537141351,0.0,523.8440154547001,962.9998998012533,0.0,0.0,21.920323270016333,454.9055487851757,
506,1199.999994189715,67.32807362100536,0.0,555.931251657961,951.3301296200315,0.21533697546777408,0.0,4.48397159453831,481.83835900343234,
534,1198.9999796597508,69.77764150993582,0.0,548.9445488054545,953.7359397406101,0.014925855637361334,0.0,6.8676849659372765,479.75754887521634,
536,1195.0000273336348,74.95908529757688,0.0,531.7189801238027,959.9362988954058,5.954157625872633,0.0,21.89278860609516,448.8415299521736,
548,1199.87553029527,78.89856412789787,0.0,510.70219940486555,967.3930329424286,0.7015692307062188,0.0,29.40891794207581,444.0000089278839,
550,1200.0,80.2703544489304,0.0,504.99988289433645,968.9381694557044,0.0,0.0,29.719712739932497,446.3200807151172,
553,1198.9220314122306,82.47926059212645,0.0,498.86895301559053,971.9741663371614,0.0,0.0,36.94841812506884,432.00008774973566,
571,1200.0,86.76668641250804,0.0,480.4989167692054,976.8809487108133,0.0,0.0,37.399991348083624,440.4860341092164,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,519.7343898006177,817.9077479989019,0.0,0.0,0.0,1200.0,0.0,597.3195416809112,1200.0,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,506.99988115058466,823.1183610496362,0.0,0.0,0.0,1200.0,0.0,597.8609038908959,1200.0,
8,506.99992588806913,823.1183427442577,0.0,0.0,0.0,1200.0,0.0,597.8609019890226,1200.0,
12,503.9998890632515,824.3429134368779,0.0,0.0,0.0,1200.0,0.0,597.9853976926478,1200.0,
13,429.7877415927562,928.2600282958267,0.0,0.0,0.0,1200.0,0.0,596.7059351197001,1200.0,
22,400.29008465116965,941.4431829065734,0.0,0.0,0.0,1200.0,0.0,597.8732016597319,1200.0,
32,401.6129512845047,939.9573954011037,0.0,0.0,0.0,1200.0,0.0,627.0000087011149,1200.0,
37,401.3817165525171,936.1072975702047,0.0,0.0,0.0,1200.0,0.0,683.430221737748,1200.0,
38,425.53992395077137,913.9222149288654,0.0,0.0,0.0,1200.0,0.0,686.1725854547974,1200.0,
40,0.0,950.0341726767555,294.9999043054879,0.0,0.0,1200.0,0.0,711.2904919361549,1200.0,
43,0.0,955.9873544538638,279.91727378323196,0.0,0.0,1200.0,0.0,712.999811180874,1200.0,
57,0.0,967.947191005226,267.1022803524594,0.0,0.0,1200.0,0.0,716.9810756838367,1200.0,
62,0.0,961.6488600101089,216.37187134421532,0.0,0.0,1200.0,0.0,694.0852774341096,1200.0,
65,0.0,965.2704619226053,227.00191057478446,0.0,0.0,1200.0,0.0,662.1605228442733,1200.0,
66,0.0,965.2704502690057,227.0019385639427,0.0,0.0,1200.0,0.0,662.1605213865499,1200.0,
67,0.0,965.2704502689087,227.0019385641754,0.0,0.0,1200.0,0.0,662.1605213865378,1200.0,
69,0.0,963.9177342410445,236.99991770656075,0.0,0.0,1200.0,0.0,715.2515135267105,1200.0,
73,0.0,906.2716299521426,421.41202064158887,0.0,0.0,1200.0,0.0,711.8376555774895,1200.0,
74,0.0,949.1752111184222,204.99990720760266,0.0,0.0,1200.0,0.0,730.072642932049,1200.0,
77,0.0,950.3116274637728,201.40951229404513,0.0,0.0,1200.0,0.0,730.8911643659968,1200.0,
81,0.0,951.0462303791115,106.87787318134204,0.0,0.0,1200.0,0.0,691.6706886384146,1200.0,
87,0.0,953.0000518265282,101.67145592470882,0.0,0.0,1200.0,0.0,692.3148155294635,1200.0,
90,0.0,956.2955957579024,45.52071284490641,0.0,0.0,1200.0,0.0,662.7989371835891,1200.0,
102,0.0,957.5118118185468,42.63592892914691,0.0,0.0,1200.0,0.0,662.9894422072999,1200.0,
