,light1,light2,light3,light4,light5,light6,light7,light8,light9,
1,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
2,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
5,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
27,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
31,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
40,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,
41,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,
176,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Up:,Up:Mid:Mid:Mid:,
187,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Mid:,
195,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Mid:,
197,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Mid:,
198,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Mid:,
202,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Mid:Mid:,Mid:Mid:Mid:Down:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
248,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Down:Mid:,Mid:Mid:Mid:Down:,Down:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
249,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Down:Mid:,Mid:Mid:Mid:Down:,Down:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
250,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Down:Mid:,Mid:Mid:Mid:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
260,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Up:Mid:,Mid:Mid:Mid:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
265,Mid:Mid:Down:Mid:,Mid:Mid:Mid:Up:,Up:Mid:Up:Mid:,Mid:Mid:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
285,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Mid:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
300,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Mid:Up:,Up:Mid:Mid:Up:,
309,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
310,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
311,Mid:Mid:Down:Mid:,Mid:Mid:Up:Up:,Up:Mid:Up:Mid:,Mid:Down:Up:Down:,Down:Up:Mid:Up:,Mid:Mid:Mid:Mid:,Mid:Down:Mid:Down:,Up:Mid:Up:Up:,Up:Mid:Mid:Up:,
