,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,630.30280069893,530.1569461702537,395.19507684127774,337.7884493485393,628.6423806372312,531.5157887294129,
2,644.5865215120078,520.848136763831,394.28765418192904,333.60855245009225,628.8373724406565,532.1551468038986,
3,648.2896620287216,518.7718675112459,392.68946496098715,330.8750741261978,629.2218083102146,532.8661525474508,
12,648.0247584828053,518.5189893992656,392.6481616938465,330.8348211094209,629.32924021189,532.977669984082,
14,648.6381192352893,518.8571589002819,391.19508375397817,328.9597016737015,633.2455507444686,530.0728692321801,
16,648.895900268879,519.528944916753,390.33455098346883,324.8094331310007,647.6068121388507,520.7370901062884,
17,652.1001612559056,525.0727015688016,370.60717712310003,318.7562007367527,679.2438200105256,483.21461161053753,
18,652.1001080553406,525.0727269347983,370.6070461356404,318.7564172265599,679.2432937684332,483.2151564115733,
19,652.1001080546987,525.0727269351045,370.60704613405966,318.75641722917254,679.2432937620825,483.2151564181479,
39,652.1105529457319,525.0180291400951,370.79178095322794,318.6326423595461,679.907165155902,482.92752790993075,
42,652.1012668322402,525.0662013824831,369.4552534233366,319.1233921129934,677.6520171357156,487.03812071063163,
44,652.1012670943031,525.0662011047054,369.455254753112,319.12339064124336,677.6520216348137,487.03811640217003,
46,652.1012674178468,525.0662007617611,369.4552563948546,319.123388824219,677.6520271894059,487.03811108293814,
49,652.3394290826343,525.3802300581091,368.1060882377554,317.1576547421984,680.9247225118539,486.6555487094685,
56,652.4380407634338,525.5395220195859,367.8746626867392,317.295745675462,680.0270864603739,486.9321742000667,
61,652.2899650467905,525.5005555707673,367.6154892626038,317.1204651502606,680.5512374984803,487.918480301642,
66,683.8848729610467,492.19261782759753,349.2822147652172,313.2462183594175,684.1649710918934,493.0608034811645,
68,683.884543340848,492.1929435239172,349.2822074221176,313.24623425145757,684.1652687814201,493.0605036588385,
78,683.4689731220623,493.47138260901636,348.81027209131094,312.8565490161061,684.314735749104,493.1103414239607,
81,684.8916626712412,493.24872220168277,347.35907269141825,312.30860737471903,684.6768196320461,493.35518354485083,
84,684.8917293177785,493.24865573023675,347.3590692341667,312.3086113346988,684.6767425664125,493.3552599907007,
86,685.3464811060691,492.3922118310555,345.6918266100622,315.14798356666137,685.1567970473994,492.4719519262967,
87,685.3465858173078,492.3921074205391,345.6918216318846,315.14798926670613,685.1566776488141,492.47207038626965,
88,685.3465858232302,492.39210741463415,345.69182163161224,315.14798926701803,685.1566776420951,492.4720703929363,
89,685.3465858232538,492.3921074146107,345.6918216316111,315.14798926701917,685.1566776420683,492.4720703929628,
94,685.3469375915848,492.39175714775695,345.6918136029951,315.14799841752404,685.1563087816793,492.472436774005,
96,685.3476022665914,492.39109439088355,345.69178216658446,315.14803441161627,685.155551482429,492.4731881279038,
104,685.348699334059,492.3899971197265,345.6916706343693,315.1481624056298,685.1540803209027,492.4746448541468,
160,685.3487651456521,492.38993112602424,345.69166093649625,315.1481735417207,685.1539809146924,492.47474316135686,
176,685.3488028814663,492.3898932852108,345.6916553655666,315.1481799388488,685.1539238779883,492.47479956710913,
184,685.3353153380216,492.4031598432763,345.68416387904807,315.1567954465065,685.1391367725579,492.4887963509517,
807,685.3302708251738,492.4078956391405,345.6839014841418,315.1571001236454,685.1430296828469,492.48517920671725,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,484.8355658235504,345.2702794094281,654.2754570154658,515.8607112323899,345.09189303469816,281.966764554817,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,
1,487.0694589389954,344.9713148545145,653.5812329995539,516.2148578193869,344.22518561800723,281.3590691670082,
7,485.7800320917636,344.55340012594525,653.7859771329457,516.6964505606013,344.3984831477213,281.592722651267,
25,485.89038299738263,344.598282269057,653.7963049238513,516.6861976628458,344.3984599238338,281.58842337781005,
33,492.22434276862566,339.45802369525194,657.9313865829528,515.4658847151546,340.1696065228664,278.521853357359,
37,492.3368878036421,339.5214748227662,658.0381511938475,515.4732296194597,340.0588354458492,278.18848985385563,
40,492.11223324574297,339.4931617166704,658.170972220156,515.6219925354645,340.0571558600441,278.0633643988701,
41,492.98249070222033,338.27252802442246,660.5887360331036,514.7586517864638,337.16462955892234,278.66242767826196,
49,490.30193456254256,335.3477785274532,674.7422175800751,505.7931502299189,333.5983372718699,281.62720285583293,
77,491.56155890884753,334.79842471454793,673.3773770255729,505.54400024974854,333.0714603115929,284.3640970207315,
83,490.9004917946723,334.6980714474567,673.6908122499821,505.895712619828,333.14203110805335,284.19202673416214,
89,488.40952250958736,325.4662968657784,703.2591551209756,484.68970974891573,303.838347845976,301.3698048668369,
91,488.2442054219366,325.6387733165656,703.5584351895889,485.18939195779353,303.6232633899168,301.48643080889417,
94,487.8156901026666,325.6639513031568,703.4071649256447,485.4701559252092,303.1626096016655,301.49572427787507,
100,488.31183744011173,326.81002944472664,702.1342792956401,486.5134438410648,303.7075318973444,300.89306537091664,
105,488.1184092144566,327.47779391526933,701.2988422977975,487.43815885187206,304.3460827879377,300.3123075784435,
108,488.1072064117564,327.51494885135287,701.2710913842204,487.5015112333278,304.2219546681677,300.3222816686663,
114,487.92354203101104,327.7024259373057,701.273857382779,487.91979661958254,303.55808814978604,300.296154752719,
117,488.149864873725,327.9346859208608,701.1223591462394,488.1795883866619,303.15606928876247,300.53759914163743,
148,488.2615638640076,327.98217602205415,700.8566056683233,487.8336018904342,302.7104803601723,301.49588341872743,
161,487.68237929959605,328.1911505593408,701.3176601872547,488.5587812725472,301.81285531669334,301.0689458792655,
173,487.6596769674621,328.19376291192464,701.3255033915616,488.5628663829395,301.76124325940765,301.0047274900807,
