,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,610.6888342896523,732.2133107736433,713.0158226042113,470.96342365604266,616.7541883463149,678.7806553049049,426.89283883798663,500.304006668641,385.2182831387931,383.54096454549375,431.4070267305582,305.51273401042243,
2,610.7633973997312,733.0585466799681,712.3779391600019,470.4520351943738,616.221344741207,679.2379128008856,427.17804052358673,500.80240253056434,385.652541876033,383.3796549613435,430.85810318122094,305.1538386390979,
5,610.9892386076011,733.584201248324,712.3864826645399,468.7034874245221,617.2998511194232,678.9827267214372,426.56995549604096,499.7359336579546,386.3546577163321,384.6032050377799,431.2455045264111,305.23190685726547,
7,612.4454662835774,729.6450823262272,716.5358056818018,468.21424015979136,619.0776249531149,676.3049997245972,426.36093750143283,500.5360452227633,386.8646273809153,384.5227530458267,430.49932444076455,304.7136097172849,
9,612.6881860522009,729.880967040077,716.2784860824319,467.48689190068217,619.3000772630628,676.5237723532322,426.7533779221296,500.41382246752016,386.65753932112375,385.33415217136456,430.60501303558146,304.2561930728134,
11,613.0009361057326,726.854295628158,717.3223674033208,469.30058059263905,618.9976570021012,677.3137155854065,426.4557937026427,502.08366278564915,384.41000195629687,385.2601637574447,430.81933615463095,303.9921858547192,
14,614.3094677166317,725.4215808518351,716.0401064442838,466.70517178993225,616.8637473877862,681.2689495037589,454.43222347836735,491.695620532241,381.4212368906065,377.98097326593137,430.5821147887328,304.07518248694225,
17,655.3276822163273,696.3473552834729,721.6393671039083,452.56285162383466,623.6790628729665,681.8094575948629,454.66430047962433,491.8536699226005,381.83576841901134,376.87241125898544,431.21362869235315,303.6182372708699,
19,657.4020759857391,696.0959979485929,718.8942898390571,447.6641793228542,622.577706626864,689.3397636256639,453.89883692699857,496.2310308040115,375.41468255557555,377.25894714036866,430.14157950162354,304.38253944486655,
20,656.8525395316591,697.2700664405703,715.4588895417221,450.6069744470201,617.437858098604,698.3584514375614,452.2797320940907,501.1798038574604,361.6502453759109,376.052023183168,436.90944810723306,300.7127297901216,
