,power consumption[W]
,standard,proposed
1,186.44486478329648,203.43190872685332,
2,181.7986671680315,184.96004456861894,
3,217.28431748316248,204.87245194475767,
4,228.62624731737338,235.83535081225872,
5,165.1033328148663,207.79852766605927,
6,186.30864363055485,173.5501618657339,
7,134.38015956128973,144.37118116211042,
8,209.1616755501801,192.71181300934137,
9,220.07626673454862,226.23612469806872,
10,234.64261312756395,230.042505559711,
11,211.4616001492104,212.06922722513613,
12,178.3447111564594,170.84499490414876,
13,198.86716476061972,224.9579873653644,
14,219.5277329381733,190.84489366408914,
15,203.69722868731844,220.55466399479144,
16,204.78581153933774,205.9595715512043,
17,259.8386401741595,267.67278337723326,
18,236.92409361573692,224.43458142148387,
19,200.93170233890055,194.06714891380696,
20,236.3218075022535,249.15305176761555,
21,154.7057321125302,155.60372842160518,
22,187.98952115996013,204.99523671748517,
23,242.65820829680032,238.54643553433124,
24,207.69560460469137,224.20942127944573,
25,203.3162740084033,206.386966938469,
26,231.329928931165,227.0222574385474,
27,167.43138811101278,159.77628287873512,
28,149.49618993352198,158.0268541116508,
29,210.94893217202196,216.34517072652278,
30,236.10575717309314,234.79227026618221,
31,186.11451571753952,196.73114979939044,
32,244.43422859608037,245.59942021050352,
33,225.46116427695452,223.0681947783875,
34,254.7689254926848,236.56533834150991,
35,181.62345980428512,168.60214772039788,
36,188.47483615633342,189.14873609159793,
37,146.25383930303866,166.11667614372948,
38,237.75495417334471,238.46645426609626,
39,233.2978003761707,245.13874988221568,
40,202.72053516322129,203.25126837426387,
41,234.85477008852962,262.865395081124,
42,199.8523239245677,204.09541654469479,
43,228.97326458741347,225.98199240311243,
44,211.50876012643434,222.77844601163164,
45,212.73670245589256,203.97258636748288,
46,186.15620597155743,186.87821990002766,
47,198.29510020737908,203.4127690560518,
48,186.85948467274972,187.8189287508264,
49,225.135942415222,241.10973186277613,
50,234.52701814891628,224.98896326248666,
