,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,863.932763914215,978.0000263986244,793.9265463592949,0.0,314.6924097211159,901.1333090744042,404.64531426788426,665.3134212771974,0.0,0.0,208.3256179596801,0.0,
2,861.863982322195,986.1180910076343,784.7794615096287,0.0,308.35475036816814,908.9999948154732,406.36185906374664,668.8552748486644,0.0,0.0,198.75897475709226,0.0,
5,878.8421100025865,955.7753882127001,841.5948017675187,0.0,272.65757978637845,938.9059391686013,410.9999153455523,669.8385528011382,0.0,0.0,202.89729466829004,0.0,
7,877.2643000603325,991.5568030849229,708.9687118995851,0.0,260.8055376700349,985.2444160944917,416.24655838214727,670.9999642155681,0.0,0.0,200.7884841401497,0.0,
9,876.2179609266091,994.6571321700836,708.7279363609969,0.0,258.92548371773375,983.9616505651218,460.66138064876975,663.924108095627,0.0,0.0,197.60475995805535,0.0,
11,592.5610885279158,1200.0,670.9216580666803,0.0,304.88493436230874,951.6487308145431,461.99991312065794,662.7717384131577,0.0,0.0,209.79796643380024,0.0,
14,603.4053732413262,1200.0,652.3555843159592,0.0,294.8301825567746,984.9999624402681,471.55186476987967,606.4895007121894,0.0,0.0,282.7778251016231,0.0,
17,717.9422155056045,981.5499363284846,776.734307175783,0.0,342.95587297193674,952.9072226642096,465.6603380273185,602.720379461507,0.0,0.0,289.84380287987193,0.0,
19,761.3248989801664,920.4755711878033,782.6408635523661,0.0,289.9960416679023,1085.5882955987754,467.58299938265134,565.9273958347882,0.0,0.0,344.7571984289461,0.0,
20,771.4312146700374,869.9998618495717,972.4658000097994,0.0,335.33438442436926,792.7545783794134,430.88122054300385,629.9001200960938,0.0,0.0,327.6522870866733,0.0,
24,768.8615001998064,818.8582882739095,1005.3612928120073,0.0,352.93864196090976,780.9998821249474,430.4921159371932,632.4271855198576,0.0,0.0,326.50564821358785,0.0,
26,759.4647150726262,809.9999067385354,1200.0,0.0,321.3701890924992,802.2732513947166,437.4979417817547,626.9369716351182,0.0,0.0,322.6389068296472,0.0,
30,758.5026625295721,810.4075022246051,1200.0,0.0,319.56894095032095,804.5904400116457,489.50111727625074,612.556890832295,0.0,0.0,329.4274071090211,0.0,
32,863.99997863489,773.8104118574441,1200.0,0.0,311.9223380189986,813.2268112576265,487.68235389314486,621.8326594471414,0.0,0.0,314.5205649656056,0.0,
