,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,1200.0,439.9160815540898,371.1724164890626,285.2535889123503,0.0,843.9999839299716,911.9393544311396,471.9973169181651,607.5009920882616,1200.0,198.56533266599274,0.0,
2,1200.0,448.4249957238438,369.1105499650835,297.9200390483839,0.0,844.9999930029094,804.8332710312353,502.61921482536974,594.6171150754772,1200.0,208.8498665320624,0.0,
3,1200.0,452.5874965988198,367.36852439739613,300.10450732667164,0.0,842.7108613827978,822.8045048891588,465.4764442422683,661.000017408677,1200.0,170.8860910239062,0.0,
4,1200.0,394.71102453519296,415.1285997206455,297.26585803944863,4.313676426040423,833.9707621657452,826.9999799803069,473.58938912042004,664.5310611423721,1200.0,155.33349293047146,0.0,
5,1200.0,439.83221673771453,366.87741132181173,284.4584610112598,12.999925660615745,825.5221710108015,829.5785129494448,474.2813239154666,667.65190789022,1200.0,154.3709511350048,0.0,
10,1200.0,456.18659035245486,333.9694710955331,293.9999622501862,6.582470266317273,856.6442841297923,738.246341252747,441.85269817340014,628.9156046299149,1200.0,335.8635904224167,0.0,
11,1200.0,460.57897672870075,327.4955919364038,299.53640007287686,6.889758493390496,861.590578127061,750.9714374306072,432.9997420018506,631.7625469131802,1200.0,323.93813374528935,0.0,
12,1200.0,464.8689859035053,323.4537193967638,301.96564493990684,0.0,866.9984762047616,751.3915984774745,434.8962782339411,631.9999490457097,1200.0,318.7192469735481,0.0,
14,1200.0,463.83401739687815,326.4286705350503,304.2937869337385,0.0,864.0000169586237,733.1370321310707,438.1805010813664,635.1541929958764,1200.0,355.4215613395979,0.0,
15,1200.0,468.6895405875377,337.36562944301215,304.6182065078014,0.0,856.9999244835651,736.8098566173584,443.9971410014535,583.4380215695866,1200.0,352.4976270824056,0.0,
19,1200.0,468.940599591778,343.73769017604394,306.1196518558586,0.0,845.4349819942669,741.6884563622796,426.99998562478896,646.9071739736929,1200.0,352.48144689779355,0.0,
25,1200.0,476.3850928496616,330.4356039129815,303.8508913659543,0.0,857.3630775389363,800.8661947237292,371.99985444123223,652.9791689123127,1200.0,381.3736216345977,0.0,
29,1200.0,474.3822079418933,329.98449351322995,312.4992188338725,0.0,859.4581032665747,730.4783542785826,429.8623287497947,645.4545346539825,1200.0,387.99979927302024,0.0,
36,1200.0,475.4175528982528,367.98207177750953,302.81563724093957,0.0,861.719732026616,733.9957284074015,436.59910333720825,646.445284704733,1200.0,365.97268716996444,0.0,
