,power consumption[W]
,standard,proposed
1,234.36769875042575,228.78969319655593,
2,264.75482636912125,273.5456522897381,
3,227.35164806579078,208.9785440322943,
4,155.6621678254236,153.36669437286037,
5,232.99157473786016,214.07843251254448,
6,245.01620428851166,241.85955769767187,
7,282.07574345916544,250.57335222070557,
8,218.6344579952135,189.73020109290087,
9,181.76615158582908,156.09267495140554,
10,191.9299719279218,219.31195474030397,
11,195.6138589838451,174.37523764898094,
12,189.50081144354746,166.89897909231334,
13,172.63816044887528,205.79347502609377,
14,182.84851872923176,205.89966196589043,
15,218.32031679683968,216.09866572113492,
16,232.28350999889602,232.28349353594135,
17,186.13088049288032,176.036976819884,
18,219.74344100948747,178.28466198104417,
19,197.69201779182728,161.54417377913217,
20,240.42294302138112,229.04954170628437,
21,216.28562004753877,206.6307351727672,
22,206.69456369191383,206.6945434630484,
23,244.98711783160917,256.4855228573878,
24,200.9973884761116,179.701785327704,
25,231.09926662637736,254.51841525781506,
26,227.26554782766982,221.05922873722406,
27,179.28188488343173,189.54830967762078,
28,177.72761693523614,152.53899327224417,
29,182.98825577456105,182.98824437426717,
30,189.5326702320739,163.0237668937047,
31,243.31354959309306,223.15227556628582,
32,274.15046202023376,277.4845257289873,
33,220.2009780150986,214.94993833468658,
34,201.59324462011955,225.69038986663872,
35,223.92233628490092,198.5061193365068,
36,238.57107236126956,249.0527671224397,
37,225.31794938606444,192.38609887686806,
38,217.93261025465117,195.8991868644335,
39,230.08357371578398,221.41687473581408,
40,242.99242016262076,227.89874191796667,
41,229.8723699451072,240.9474157749105,
42,273.44848887182576,235.53775568231674,
43,193.9265606678561,227.0892456322415,
44,162.35890843474579,213.04555020383938,
45,208.1919721511898,233.12911576461903,
46,177.1709573009561,183.8534452628242,
47,195.46901279567598,184.71090286518438,
48,198.6111369071257,188.12769738866504,
49,274.36847292524095,245.72872495519877,
50,199.46886570487032,224.82868729696318,
