,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,886.4291584061509,470.50821209177917,422.4248932206007,0.0,671.0000038952528,311.87620035980717,1069.9431886982848,342.224712873166,943.1178886373519,1200.0,163.33546698816977,0.0,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,891.9002225591,490.8244259003973,436.4609806446932,145.66165335980867,471.9512420280957,493.0000071890586,1200.0,0.0,1114.8159843838089,654.1335568953726,0.0,0.0,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,891.9002225591,490.8244259003973,436.4609806446932,145.66165335980867,471.9512420280957,493.0000071890586,1200.0,0.0,1114.8159843838089,654.1335568953726,0.0,0.0,
2,1200.0,91.16237506820815,1121.9999948595441,736.638675046066,0.0,0.0,44.49263289679223,629.7162792214042,821.5514699117085,1200.0,1200.0,291.87694844719243,
2,1200.0,88.96060636784026,1024.6069457292174,518.9999753217809,548.6900778598773,0.0,0.0,491.75245446436674,721.4285064021933,970.6072268809899,1200.0,773.5573954370633,
2,1200.0,88.96060636784026,1024.6069457292174,518.9999753217809,548.6900778598773,0.0,0.0,491.75245446436674,721.4285064021933,970.6072268809899,1200.0,773.5573954370633,
3,516.7250983557456,1149.9999799869129,0.0,1166.9187018006357,187.8463772145938,0.0,0.0,615.5957573698827,245.99930206689572,0.0,1200.0,1200.0,
3,1045.0651610637685,1168.9106084778375,0.0,0.0,95.80817342455856,66.86737402085576,838.0000050053177,677.4691301469558,300.9163733325443,0.0,745.8431866102757,1200.0,
3,1045.0651610637685,1168.9106084778375,0.0,0.0,95.80817342455856,66.86737402085576,838.0000050053177,677.4691301469558,300.9163733325443,0.0,745.8431866102757,1200.0,
4,37.094094744408636,0.0,31.55442189284954,404.10534662731743,1200.0,477.96228571863423,0.0,690.8979404923106,418.3277616003816,1002.2982567584488,0.0,0.0,
4,530.89632217219,0.0,1124.6877702039512,240.91251798382928,945.9999980943253,101.67705683029358,0.0,805.0526308976636,410.04629682177597,911.9934304714948,0.0,0.0,
4,530.89632217219,0.0,1124.6877702039512,240.91251798382928,945.9999980943253,101.67705683029358,0.0,805.0526308976636,410.04629682177597,911.9934304714948,0.0,0.0,
5,788.5159264217883,944.5452472734223,0.0,0.0,0.0,1036.7054301969397,0.0,1091.8453831428574,0.0,1161.999941912889,1200.0,218.4564216612689,
5,793.2567892858943,970.8361800006322,0.0,0.0,0.0,1061.8634550126424,0.0,854.9999510852538,178.5511621293879,900.8484274240657,1200.0,0.0,
5,793.2567892858943,970.8361800006322,0.0,0.0,0.0,1061.8634550126424,0.0,854.9999510852538,178.5511621293879,900.8484274240657,1200.0,0.0,
6,944.5625283000147,0.0,908.9912079818778,425.2204743063642,0.0,467.9999962012548,85.11183687146678,0.0,966.6164351662964,1200.0,1200.0,582.5265356480365,
6,1047.6695150829953,0.0,175.84510654291398,459.7444158018801,0.0,744.9807903774944,136.970234865591,0.0,1068.9614398702684,1200.0,993.0000500820377,0.0,
6,1047.6695150829953,0.0,175.84510654291398,459.7444158018801,0.0,744.9807903774944,136.970234865591,0.0,1068.9614398702684,1200.0,993.0000500820377,0.0,
7,1200.0,88.16573043160304,1200.0,342.6225166354233,0.0,1167.8262877516397,334.924478025695,0.0,165.50876974435653,1140.7404508880304,1058.9071208366076,1127.000021561638,
7,870.337404106772,854.415983611242,543.6018561127484,274.3012140370487,193.00000010119666,0.0,368.25572730747155,0.0,405.9960165708079,1200.0,1097.4615958737884,1014.7592845682888,
7,870.337404106772,854.415983611242,543.6018561127484,274.3012140370487,193.00000010119666,0.0,368.25572730747155,0.0,405.9960165708079,1200.0,1097.4615958737884,1014.7592845682888,
8,0.0,746.8680737594439,1175.000567929678,1039.9260894529948,0.0,544.238369716462,492.99999937168343,838.3244190146568,0.0,0.0,0.0,1200.0,
8,0.0,647.0000058046525,1037.878380185186,880.9099250147328,710.8434553882688,419.3471594575855,500.9549870712973,667.6977120644893,235.1626138433126,0.0,0.0,1200.0,
8,0.0,647.0000058046525,1037.878380185186,880.9099250147328,710.8434553882688,419.3471594575855,500.9549870712973,667.6977120644893,235.1626138433126,0.0,0.0,1200.0,
9,485.9999796868817,1200.0,437.09317104390954,318.64973581167345,0.0,0.0,918.7972986324181,0.0,1200.0,0.0,0.0,437.54160723749357,
9,1200.0,1123.091339147278,385.535094626846,24.29141982809115,0.0,0.0,888.8358203483663,0.0,1046.52659220574,0.0,357.90372948733886,873.7040189625901,
9,1200.0,1123.091339147278,385.535094626846,24.29141982809115,0.0,0.0,888.8358203483663,0.0,1046.52659220574,0.0,357.90372948733886,873.7040189625901,
10,0.0,908.3410942472592,0.0,1067.1420192202254,0.0,1055.6494254252616,508.88350219070486,0.0,57.00002424552766,0.0,487.57229063780846,1200.0,
10,0.0,919.7424588952473,0.0,1010.8909681783676,0.0,1015.3609162133398,509.85787754790414,0.0,1095.9399482776828,858.0000580942448,0.0,0.0,
10,0.0,919.7424588952473,0.0,1010.8909681783676,0.0,1015.3609162133398,509.85787754790414,0.0,1095.9399482776828,858.0000580942448,0.0,0.0,
11,467.99999991836336,705.3820132144815,1078.9444157761495,0.0,0.0,0.0,281.09595806868776,1135.183101559665,80.59566890579356,529.532670883334,592.8997427224587,516.7993812793268,
11,54.074614830987564,664.418088371616,1005.3138722542479,1200.0,0.0,0.0,82.75506881509865,440.84478755304076,261.99999933847903,1116.6891050736021,1200.0,364.43253206178855,
11,54.074614830987564,664.418088371616,1005.3138722542479,1200.0,0.0,0.0,82.75506881509865,440.84478755304076,261.99999933847903,1116.6891050736021,1200.0,364.43253206178855,
12,0.0,572.999999776472,224.28411570549062,771.4314729002175,195.71700047425742,1200.0,1107.973739358051,236.652185453674,0.0,530.0715428086544,0.0,376.9830215653938,
12,66.84564266523067,0.0,514.7962181611061,801.169425391011,282.155819077412,1200.0,982.0000091767484,659.8889493647623,0.0,262.5781650826875,0.0,0.0,
12,66.84564266523067,0.0,514.7962181611061,801.169425391011,282.155819077412,1200.0,982.0000091767484,659.8889493647623,0.0,262.5781650826875,0.0,0.0,
13,0.0,0.0,773.4087618889774,514.3305573034993,1062.7248198919972,1008.9999404701609,0.0,399.7146042000356,663.5910077092044,318.0043874332431,0.0,0.0,
13,0.0,0.0,177.00000325157677,466.5020451909053,1195.7863546553863,1200.0,36.38335578420596,220.2740624387973,661.5105226528455,1200.0,0.0013429441964870974,0.0,
13,0.0,0.0,177.00000325157677,466.5020451909053,1195.7863546553863,1200.0,36.38335578420596,220.2740624387973,661.5105226528455,1200.0,0.0013429441964870974,0.0,
14,1200.0,236.78052596357747,250.99997142043233,0.0,0.0,226.87969628008932,0.0,704.9560504062392,265.68797536971795,0.0,943.2882746890976,1200.0,
14,829.7990316435795,1200.0,0.0,0.0,0.0,157.33415753213055,130.99999745769188,634.3709751247312,469.1428373173654,0.0,300.38333674327384,1061.8103061252914,
14,829.7990316435795,1200.0,0.0,0.0,0.0,157.33415753213055,130.99999745769188,634.3709751247312,469.1428373173654,0.0,300.38333674327384,1061.8103061252914,
15,960.6887469616815,0.0,931.8025672744061,1200.0,0.0,447.6775294422554,981.7521601511737,0.0,583.8721843829046,0.0,0.0,922.7090470755185,
15,1200.0,0.0,971.0500819458953,512.9999929793477,0.0,497.4345959109341,1136.7119983303091,0.0,592.955990445504,0.0,0.0,936.5384200898714,
15,1200.0,0.0,971.0500819458953,512.9999929793477,0.0,497.4345959109341,1136.7119983303091,0.0,592.955990445504,0.0,0.0,936.5384200898714,
16,448.99996570033403,0.0,1200.0,1076.279656233064,170.35116910456793,0.0,826.7503402551345,0.0,1011.8426297904869,1200.0,487.8850479057299,0.0,
16,405.9853794840074,118.99979267514153,1072.3957784551644,1036.68463226525,0.0,1200.0,789.8025777137644,0.0,817.6473719319474,1200.0,450.4005372150994,0.0,
16,405.9853794840074,118.99979267514153,1072.3957784551644,1036.68463226525,0.0,1200.0,789.8025777137644,0.0,817.6473719319474,1200.0,450.4005372150994,0.0,
17,196.36480952906822,0.0,615.9999987297508,1192.5411437814287,920.5157302580707,0.0,457.9992593569567,590.7793672517495,1146.9182391657118,0.0,0.0,0.0,
17,923.0489996883756,0.0,752.071686867989,1200.0,180.3935140950767,0.0,497.9999827575707,690.8198254427238,1158.1753641556045,0.0,0.0,0.0,
17,923.0489996883756,0.0,752.071686867989,1200.0,180.3935140950767,0.0,497.9999827575707,690.8198254427238,1158.1753641556045,0.0,0.0,0.0,
18,823.5601936554309,0.0,1098.328275356982,1200.0,0.0,586.5634135177132,0.0,1079.3209458430838,200.8935970814893,0.0,0.0,1079.9520667084419,
18,870.3682472421749,0.0,1200.0,1200.0,39.5805224628206,0.0,225.6832503208886,174.94680289555424,428.5288116701475,0.0,1192.0000334556314,1200.0,
18,870.3682472421749,0.0,1200.0,1200.0,39.5805224628206,0.0,225.6832503208886,174.94680289555424,428.5288116701475,0.0,1192.0000334556314,1200.0,
19,905.4501205634158,0.0,695.2540604026389,813.9999708996777,608.859615417871,1200.0,0.0,746.5416159236648,476.90850803522017,0.0,0.0,0.0,
19,951.4971946783418,0.0,843.3123608024531,789.0283991657566,0.0,1200.0,550.4393933618778,504.62394788928174,583.6719876133031,951.9999998590582,0.0,0.0,
19,951.4971946783418,0.0,843.3123608024531,789.0283991657566,0.0,1200.0,550.4393933618778,504.62394788928174,583.6719876133031,951.9999998590582,0.0,0.0,
20,134.9999841389061,0.0,1115.963141913269,1200.0,791.4817425376001,0.0,612.1566216044611,0.0,396.9487006833144,0.0,1200.0,1200.0,
20,105.85147314815181,0.0,1086.5343055739404,1200.0,870.9999751665889,0.0,67.76008339173576,1055.5307177054588,153.75559602445074,0.0,178.8201448328665,1200.0,
20,105.85147314815181,0.0,1086.5343055739404,1200.0,870.9999751665889,0.0,67.76008339173576,1055.5307177054588,153.75559602445074,0.0,178.8201448328665,1200.0,
21,247.9999563272987,0.0,776.9995064250404,97.74089706724183,586.9316291801226,0.0,0.0,661.4744534961043,0.0,1200.0,1200.0,1200.0,
21,250.18251482265865,0.0,766.5957802447022,0.3298327343011958,570.4585434834635,0.0,833.0000158591552,629.7248100201072,0.0,701.7783132786839,1200.0,1200.0,
21,250.18251482265865,0.0,766.5957802447022,0.3298327343011958,570.4585434834635,0.0,833.0000158591552,629.7248100201072,0.0,701.7783132786839,1200.0,1200.0,
