,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,700.2440802050738,496.1518516347075,498.42353322968637,494.71276542175764,508.45367325888384,500.76182558269204,704.2545784606979,568.8847771617693,619.4580744329918,699.1640919117049,598.9330226219155,440.97821800208646,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,679.3589346331083,405.8397710212638,477.3985364697613,478.50908181628364,494.74597332537064,489.6423250351758,706.4566500786713,567.8280413150227,621.3536794663797,698.2088666999244,597.8663723570852,439.6936294215218,
2,671.4245655263189,485.27110056244965,651.9334938737584,671.3556521889741,443.4011551941734,358.2159913095093,510.58991459953387,690.4677199855478,697.0966911465368,685.1672944338196,702.0294963875789,694.3656166796003,
2,685.8211956695815,657.7404394969182,645.6935912783714,666.2310792985505,465.73169057376833,375.21360788326723,580.3280273660902,567.3018906083054,723.229879590316,590.8932439521254,497.5287239612534,644.8181286287198,
3,702.1809352692226,683.0818857684665,327.9152268345707,703.8560156759819,497.22093011382105,301.93309577053293,440.9984279562503,542.7222558725573,518.7385545312184,393.1948842345101,640.3094144808631,678.5989231239829,
3,702.5664329807303,684.4696701956632,326.65045789537805,690.7536247889088,499.81989110707354,311.14172469660355,494.97568425740155,673.1953497029969,705.4117108909247,386.6563614194295,679.9316417837565,698.3872893026071,
4,295.3631747102314,340.83463554535723,292.9666469238593,488.7288978371597,673.9890607131732,500.7449041472179,413.6643514131277,616.4207419392006,541.1007431235039,410.95875455648746,422.44112776846816,443.29666003452724,
4,335.4438632506286,374.18461523659505,284.910477762111,664.4466292081823,669.0533804055482,494.84898411844597,479.27427803523915,621.6348730655471,526.6912596235442,486.40153986565144,451.85649366194593,454.93049185069947,
5,655.1464276033643,617.0848989690212,394.8326270309075,389.79092693220326,429.40755474998946,646.7836182562427,512.0788329647966,687.4798105870725,505.1078203066984,689.1635060905169,694.6669786185391,492.61957158451105,
5,363.4080068143214,597.6498632838823,410.4825716700203,302.3219676029575,364.71649379520113,658.4413381438641,513.4547707115175,410.300230506152,453.776779670829,673.3086162310958,583.67626682534,549.1184237951478,
6,484.7630756663745,364.30676310871706,480.54037274131497,456.3799127023963,358.3552387456009,467.84264835729056,378.52127665834786,393.93657658284525,686.3510427600436,585.7560478790165,507.16255712387385,688.0765284679726,
6,286.9731229361463,382.24460596728085,595.0307390821137,453.3069885299983,363.5166819594247,494.5415911724211,382.2056653029337,398.9943356622403,682.4243316593886,580.5895665776228,507.8010414521424,692.2521411586728,
7,697.6477932465465,507.22524156315797,700.9533345258416,492.9283343638496,496.29943160271773,690.3028212874422,468.76434548493364,424.4258781422673,469.2668723290571,524.7532290909843,631.6795748532401,524.123924304899,
7,363.3966138346045,454.91872309431733,687.7595467535895,672.8347613685967,491.13199665787374,704.7286888958299,472.6362594373185,448.4529770293658,465.68624325617407,510.9907869636819,632.4920844860825,521.182442085522,
8,383.71028236612534,639.774219338017,690.9064376578938,646.4822124979803,472.8843735782409,653.6383329161604,663.7880267806976,618.2865862019314,462.2443679946323,518.9207739403422,457.82892923714917,502.00808409476235,
8,297.40571320257425,419.88488779922676,580.7016622680314,631.4737294874818,411.71994831136243,656.4958011113869,659.142259277643,389.77904926595426,447.0373149630152,504.640708801354,376.33815702600214,489.9323647658956,
9,503.7416850359192,657.4510468338511,484.5890608854618,481.3836719726344,375.17267131949313,322.3864202669719,661.3051851139923,372.40287425342984,690.2429002456142,509.99374026036463,360.46660476821376,652.1432253761742,
9,495.6631028433025,485.6810371471552,483.56763190046706,674.275012513978,381.745077967404,298.2673333742639,668.5309565575624,391.8481888727731,697.2703548387593,494.87974406641155,358.34609505817133,646.3148224291258,
10,396.5877002084693,590.324989052739,400.2360836082873,654.4768137397788,421.35965568226925,645.5958448693748,453.52038042397425,334.219191895722,337.9507946834388,336.1399702332943,331.5485014489402,432.68296409779356,
10,396.1519569770325,583.9034160856337,397.0141413881818,665.6784034606177,432.1058219897593,651.0366798890585,607.536969495387,434.3863565950205,371.11631189735,422.58066601147584,374.6251808592065,410.3076383441593,
11,486.9509503390928,478.19984045509045,674.7629283093906,306.08285335690573,363.5796764379069,345.13559352731863,495.338062159368,700.1595653273615,495.88069755204253,502.9040189494504,691.2797195722894,499.61094692587284,
11,671.4283884064171,463.75516061373867,672.5654437101197,341.40880148329404,388.3795023913432,339.72509641277406,372.85102969445137,670.6642040179869,498.91725610209807,462.32808558596105,705.4588064347196,496.08213083576584,
12,303.27606221684823,500.6688070578893,499.60948216010706,498.2496249311701,496.87818527180525,696.9102778783814,717.2774246202932,477.3128607455066,316.99796621128706,672.3718726040088,353.4473113042988,271.9250962110927,
12,299.9295800430751,502.9313650285012,500.07461981510005,500.044502509768,496.745922059996,695.7335188603264,511.1162238064873,478.8710562662502,331.41642138374596,485.48102331387315,327.71712835753675,277.42603439902894,
13,294.1811322233181,397.70017171114597,679.5276388043198,481.33365693798316,684.4100846675077,691.8928485309194,325.29465216805227,483.17660521365434,706.1771040532647,274.53340025914224,330.72082194434756,487.1061455147276,
13,288.6128071985496,340.6298622752008,406.79293771847574,497.5503811992472,667.7767511556193,638.3339975044629,327.0931895715825,478.46333498622045,523.211816659204,267.41294623098196,356.51358687219835,459.7859021920232,
14,662.5985530517193,333.394754525205,293.167101481907,314.348116629912,308.91991628790555,290.5344388136985,295.0252257637934,522.9800183864412,492.5046508090474,341.2899886014446,651.3114137075227,517.7633831406075,
14,656.8720482085234,330.54233097935776,291.5793746972622,325.84481903287605,320.31917460311536,292.8548323192893,427.8538135521258,664.1728900300947,524.8269968458818,396.8579785916597,678.4358227226659,484.51747855469944,
15,663.059189865567,399.7254344253673,460.28986554845864,645.9231056667917,431.42899316361854,456.05970984285995,631.8248404568137,378.5287931823813,456.9548983389644,416.409524360049,378.4875493573658,372.81746555837344,
15,661.9441395371973,400.65585227674933,458.29984605931224,643.9916075754943,433.47528237391134,454.5449894921242,718.6849478024808,392.64294143170235,441.70525819055536,588.0161665460724,382.5213820258256,316.9489699449605,
16,486.54673420718973,398.37735398610374,635.7486293085867,680.1030286151571,468.0089200373041,358.80851120909927,662.2696955377262,454.1712981474123,597.2986463408586,558.1216170457774,526.6329797382991,460.2958071530916,
16,464.99245586500626,381.37436675035644,654.6685777797476,384.28073850364285,587.8044264242452,429.9914204738246,656.2375276561482,454.57250206567676,599.7440108420985,556.8014613561949,528.2653931056379,446.9750840579666,
17,481.1472199629457,390.5284564155551,458.55146084709327,699.3817500485892,654.8704216799125,375.20434862974923,689.6906225881195,639.5913950653711,728.8213047956417,489.46595440587777,438.54108408443267,641.8136281382658,
17,497.9426068643817,327.7327305210525,294.2116533968825,524.494902809549,626.2646688771441,335.8716275950682,683.3639581132007,639.7315393118473,731.9038125479906,497.446830140374,444.87420181364456,642.0193265103123,
18,668.2042512204584,450.0905776320438,666.4863672617637,671.6058760193417,511.23821582899814,476.617333193162,457.2912412585628,705.7557961150096,505.22079258998644,366.91026670415795,678.9822385317128,496.72385646243265,
18,678.3071743130866,447.2380464542589,677.6036333884009,642.201689935032,496.15877613279565,447.4800970735147,423.8872083087781,636.7323627260292,424.84270940165845,349.3715561028749,639.3696207820798,450.8011979105573,
19,662.8406002488122,486.85324718898227,660.0425589379337,670.7027565882203,683.1846611859143,682.9151043496769,353.64817333408104,624.8123134399282,690.0293808046731,259.514835617396,411.193421414814,500.46692548114186,
19,665.0842603751546,486.8125160956984,661.0829037436712,666.986916148531,678.6261463337286,684.589793179281,632.7865293978897,618.9556701245572,686.8938136166116,513.161191567811,454.9039068915364,499.2812301245071,
20,486.4320848354512,411.69648394042747,646.4280156071945,676.1384155885464,636.302295509023,411.1115974291162,605.5581664643167,453.40489949022134,518.0567271649919,451.7600121506324,541.6366740429887,665.5658386859636,
20,502.99787522304587,498.3820206093375,706.286283518585,696.5207651141714,695.7534486220652,481.0518095828436,603.0294950996549,462.17673442313696,523.7467285898191,450.74858345487263,543.9529458939273,666.3183605094745,
21,298.93575259697286,317.57546148778977,489.70070023820693,299.5434624803012,465.4645617203927,329.1094494707123,409.391043151403,597.0097336208363,446.6387983763264,571.1467809936719,613.8228280007257,601.8427656476497,
21,293.98816622011174,349.89666128072673,485.7915842204527,482.1779341451115,471.11120401102755,312.6337857527531,445.33381640592535,623.6625279776152,388.9276601270652,574.4295642292162,560.5644478729066,450.83000092448043,
22,470.96867571822463,445.456803948761,674.8409125499237,666.5024482186537,508.75779217886986,655.9359966580815,358.73288956533054,677.139752229144,516.4577939714391,283.3408660114168,504.5118674815209,487.40814908321033,
22,448.40445079015063,425.3857929274728,658.4558392354265,637.3581429342394,477.29215123686987,598.7319637424724,352.3206193339782,646.6800991029853,438.39946083114916,291.21508023212357,494.7745151300419,438.2985807338571,
23,690.8816346288548,398.3816834174924,275.449849940658,667.9528561432872,650.0069039465652,345.7749422341267,444.4619838437927,509.0856231736103,489.8945041623094,604.8955842150416,653.9755338167153,519.9381788485196,
23,676.4018867356758,446.9328022306992,369.99489929062815,660.7735633606321,653.143116053235,652.9390066694631,437.61369264333564,537.4777258210322,664.8797805257243,595.5758589093466,624.8843270912474,564.8803833172063,
24,391.01801813659523,659.5500553121584,498.0644449413468,665.5056042783185,522.9869562268469,705.1687499942936,741.6714685876151,643.4943653453857,673.897049464523,633.5446867281829,427.42318426751046,511.53436994398555,
24,295.3131799342952,502.9578191459047,493.9671770944319,502.63999131878177,495.239890342218,707.9266657577775,738.0581578612631,641.4483421466962,676.2076947158988,638.8408042531688,432.362771411837,509.7277236366949,
25,485.5932720007285,496.50658075879926,702.0813789236015,367.9355651105339,671.7126540952047,705.6692770673454,676.1925194404361,685.9129961475262,713.7971709314545,524.7340965314263,523.4904196641626,680.4043934762601,
25,485.59325322217813,496.50656165625077,702.0813537238276,367.9355465925559,671.71262203068,705.6692497247468,676.1924675416584,685.9129424911273,713.7971108232895,524.7340563596815,523.4903867539674,680.4043495828558,
26,699.5516497781643,699.6927292739344,499.4292528270278,498.76703852747005,502.347010795689,698.8526412752921,695.8997532559239,507.81421820382417,696.7475434728145,506.45483330498325,489.4268651972026,505.2441284793984,
26,701.0364808217706,700.8070768829125,500.30561672925995,497.4609064185709,495.5217871380242,701.0543532908082,317.21782826974453,498.70164444790623,695.520586455616,298.80415941041684,488.30983901848424,510.5258673698806,
27,321.6482691719257,689.0486015363906,699.6793048113814,296.3626085586038,493.92564538200156,698.5494857699495,340.91872620435305,592.3761090977438,405.48853370229705,307.3257808392863,405.02785343561965,418.5130470961886,
27,322.725146880732,632.2971293342536,692.849358106533,321.6136570549625,439.1111859527608,415.3253601501579,391.218531120333,608.1499125286738,367.3757716936175,393.58190159808066,456.9407188780014,415.90003431623734,
28,487.9864007788184,688.3613042585894,702.5171262229458,372.47873942802545,662.5104565864148,521.5319849112147,307.2368885553208,509.35778844789223,475.21884124046807,301.20233989044334,475.78355425418397,340.68832833232324,
28,441.39077558776,437.1597058688537,616.1796422222382,358.4776725010152,685.3396079501601,497.72421005553815,307.10469708000096,503.2916877498361,633.5738962471384,295.2832867050558,468.75022878332857,417.1772487377257,
29,676.6484091070591,475.1667570371206,657.9316259323319,682.8939393938074,442.809237478276,343.4694391629245,446.2544232234612,628.2050535618876,657.95448114928,357.12572435463056,411.01706456831766,532.8977739631279,
29,677.6340027583955,478.4132165456751,351.0846382192481,684.8396593567523,469.2696749378656,528.6766432771888,450.18436381778776,640.0866293438619,680.345068559003,354.06474746862716,403.31834492028946,517.1851008512544,
30,654.4428546398908,345.16953406042444,293.0062710035358,381.2647432814478,470.09924143213334,289.563702151266,602.7385227084715,417.384905799552,431.0241073202542,429.02920776843865,427.17707134150197,541.7712093744669,
30,687.4036080555078,378.0534767459731,292.36434250889704,673.2225863253454,486.4381356366564,260.0918421840342,590.8309211631823,382.69004497367865,410.86579045766604,400.10616698602377,399.9464883364943,527.985075543507,
31,505.7756461061459,698.4758796376849,699.0014921249298,690.5590983301769,694.1897541827451,509.30160466246565,535.0764899098293,555.4541073892394,448.36277987114863,663.4526795121543,623.844369284833,389.93127770210356,
31,499.4789483054617,698.7083376800088,697.8774070611082,699.0863296355927,699.6935304327494,505.04122017147915,501.8394440612866,702.7274224690058,473.8898229565658,499.44647232762543,675.3012437327329,369.0163735143352,
32,503.9004106785829,692.3343151837596,704.8678709098388,699.4943116484727,500.02870448586134,491.2728561626066,663.8296619392934,532.2311498989834,389.90819533022096,565.0506378030196,649.1036674677672,608.9378066974023,
32,506.88524826845094,684.7210000241437,701.9380000672927,500.2504754959439,496.37196166137784,506.73643551490443,670.8836884147335,543.3770959877156,500.57129338038493,550.8793099165631,644.5773518172965,697.9606568998732,
33,295.1348234783957,331.3992712813694,661.0317650901065,284.5743244945219,308.0412232431869,318.91063386968835,678.0212082562672,416.88046799754125,467.7429015775234,710.8544784910397,640.6983690716297,523.3174843496755,
33,298.4751394442683,345.32556603599454,667.3732888911593,303.68227769660933,428.5836420043471,391.47384008680217,713.6874104785348,685.08199783267,511.38311350749177,680.0182217584265,722.2748341867897,477.72681252881046,
34,509.5892608469763,505.21275215634756,657.2716947360846,491.1442770294833,637.6522154226739,427.70254105243674,361.1887837065621,355.3773221704535,606.3424562101854,401.3336668637545,345.594065031185,393.7586487043081,
