,power consumption[W]
,standard,proposed
1,234.36769875042575,230.78572989113692,
2,264.75482636912125,221.62714307077994,
3,227.35164806579078,209.78969641878635,
4,155.6621678254236,177.35254665349885,
5,232.99157473786016,237.59728776400675,
6,245.01620428851166,240.08818213460228,
7,282.07574345916544,268.9687804883103,
8,218.6344579952135,208.46125717331526,
9,181.76615158582908,185.98147813546754,
10,191.9299719279218,191.42842247612532,
11,195.6138589838451,204.98818477622484,
12,189.50081144354746,175.99863892000482,
13,172.63816044887528,173.649623546399,
14,182.84851872923176,173.63039313641923,
15,218.32031679683968,227.91993287152482,
16,232.28350999889602,222.1847893070462,
17,186.13088049288032,165.8218681169306,
18,219.74344100948747,215.72907867164403,
19,197.69201779182728,227.6330982008908,
20,240.42294302138112,247.16111033452822,
21,216.28562004753877,198.64542630199205,
22,206.69456369191383,197.87521291959007,
23,244.98711783160917,256.4855228573878,
24,200.9973884761116,187.05788314354234,
25,231.09926662637736,231.0992575955976,
26,227.26554782766982,202.91451241800704,
27,179.28188488343173,171.41784529893624,
28,177.72761693523614,181.4863886704244,
29,182.98825577456105,181.48602396112733,
30,189.5326702320739,205.253126662049,
31,243.31354959309306,211.63094454378103,
32,274.15046202023376,278.3808364235226,
33,220.2009780150986,193.11511875442895,
34,201.59324462011955,196.08207285954126,
35,223.92233628490092,223.92232382268023,
36,238.57107236126956,215.9753559304979,
37,225.31794938606444,234.29505120607195,
38,217.93261025465117,216.75513009180784,
39,230.08357371578398,233.31167714731583,
40,242.99242016262076,226.2918225280502,
41,229.8723699451072,244.31764731186493,
42,273.44848887182576,262.5537107979171,
43,193.9265606678561,211.5750406278168,
44,162.35890843474579,162.35889414811547,
45,208.1919721511898,172.30819186039258,
46,177.1709573009561,206.83590931801675,
47,195.46901279567598,217.0261163651083,
48,198.6111369071257,197.67722837348495,
49,274.36847292524095,274.3684499156351,
50,199.46886570487032,167.01527778344675,
