,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,700.2440802050738,496.1518516347075,498.42353322968637,494.71276542175764,508.45367325888384,500.76182558269204,704.2545784606979,568.8847771617693,619.4580744329918,699.1640919117049,598.9330226219155,440.97821800208646,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,702.1498636366516,487.86256771907375,488.08253156691256,530.3698439459929,457.775307486354,374.3792080554224,653.8118307495865,455.3144948447455,579.4194014840683,599.5919970087095,457.6835390055353,396.1506217293012,
2,671.4245655263189,485.27110056244965,651.9334938737584,671.3556521889741,443.4011551941734,358.2159913095093,510.58991459953387,690.4677199855478,697.0966911465368,685.1672944338196,702.0294963875789,694.3656166796003,
2,690.3748296931897,510.8571699876475,684.932198587944,702.2545082779038,463.6827645287784,365.18163990482753,542.9054999807022,729.2241274250513,525.6873240732785,655.1080287372478,651.9994028921428,497.52147535581844,
3,702.1809352692226,683.0818857684665,327.9152268345707,703.8560156759819,497.22093011382105,301.93309577053293,440.9984279562503,542.7222558725573,518.7385545312184,393.1948842345101,640.3094144808631,678.5989231239829,
3,699.3629294727862,690.5756433639895,467.3273190207986,698.2796737914496,511.41037815478046,362.62917456006227,539.4844176065674,559.0448461057395,525.769887109001,476.0445185531464,645.3512999271983,661.5481342073567,
4,295.3631747102314,340.83463554535723,292.9666469238593,488.7288978371597,673.9890607131732,500.7449041472179,413.6643514131277,616.4207419392006,541.1007431235039,410.95875455648746,422.44112776846816,443.29666003452724,
4,286.39882973533554,370.78612832076635,486.2580186140698,490.03605842302164,687.4250121336017,490.42048389941993,536.6194867088468,641.1603451765852,539.5524395234584,445.74322452360894,416.46699835052755,443.5376755813557,
5,655.1464276033643,617.0848989690212,394.8326270309075,389.79092693220326,429.40755474998946,646.7836182562427,512.0788329647966,687.4798105870725,505.1078203066984,689.1635060905169,694.6669786185391,492.61957158451105,
5,657.4134002726153,618.0130269569956,398.3313059370411,388.035697705792,418.84591015080713,649.5882483895809,513.4911670953646,473.3081732514862,501.94090168664763,663.4035913729795,537.1280653651751,487.6157328695765,
6,484.7630756663745,364.30676310871706,480.54037274131497,456.3799127023963,358.3552387456009,467.84264835729056,378.52127665834786,393.93657658284525,686.3510427600436,585.7560478790165,507.16255712387385,688.0765284679726,
6,479.733003536716,322.59009006059995,487.07381461509084,320.15113931639104,296.1115770416674,309.59831257752774,373.13482255122756,366.804015425259,683.3503901151129,598.9682866544414,501.44526532947106,699.3106540090026,
7,697.6477932465465,507.22524156315797,700.9533345258416,492.9283343638496,496.29943160271773,690.3028212874422,468.76434548493364,424.4258781422673,469.2668723290571,524.7532290909843,631.6795748532401,524.123924304899,
7,674.130008409428,501.1289315221021,685.4490299230231,459.63123657267374,466.92645968419265,622.4643836349427,462.13977100627494,399.3610787688206,375.3398724694823,530.3747579561024,629.2656709738543,478.31402483185104,
8,383.71028236612534,639.774219338017,690.9064376578938,646.4822124979803,472.8843735782409,653.6383329161604,663.7880267806976,618.2865862019314,462.2443679946323,518.9207739403422,457.82892923714917,502.00808409476235,
8,331.6156784224328,496.3496299010043,623.896659423016,660.5421084729421,452.2678183986554,681.8209402989877,666.9258523738583,619.8523269981006,573.1484747245108,513.6795712354035,468.30341652537356,590.1925067282023,
9,503.7416850359192,657.4510468338511,484.5890608854618,481.3836719726344,375.17267131949313,322.3864202669719,661.3051851139923,372.40287425342984,690.2429002456142,509.99374026036463,360.46660476821376,652.1432253761742,
9,507.62742784836416,661.9953248357328,485.5610664436981,476.7817167557973,379.4358244080457,322.9308313757223,646.3637634355266,462.37045361803666,601.3581045056235,580.585210985277,496.0133945075663,614.8060777728317,
10,396.5877002084693,590.324989052739,400.2360836082873,654.4768137397788,421.35965568226925,645.5958448693748,453.52038042397425,334.219191895722,337.9507946834388,336.1399702332943,331.5485014489402,432.68296409779356,
10,419.8215212430463,610.4523136289951,362.5916833576535,641.0141292255614,386.9579230756212,457.34176074183694,550.2095397798417,362.1645331414057,329.1755678993195,554.7916303768484,424.2507708374974,417.1829651726588,
11,486.9509503390928,478.19984045509045,674.7629283093906,306.08285335690573,363.5796764379069,345.13559352731863,495.338062159368,700.1595653273615,495.88069755204253,502.9040189494504,691.2797195722894,499.61094692587284,
11,489.0482251040367,588.773933170912,709.2904720318049,343.1010090018989,419.000457303156,477.0903752628291,491.386624493452,701.1587036353102,497.2584194913087,506.2306753249005,691.7769653750158,502.4077776230461,
12,303.27606221684823,500.6688070578893,499.60948216010706,498.2496249311701,496.87818527180525,696.9102778783814,717.2774246202932,477.3128607455066,316.99796621128706,672.3718726040088,353.4473113042988,271.9250962110927,
12,258.4165962441396,396.35253154791394,479.4894500818175,491.98292519105706,506.173081756737,673.34661066835,649.2975539370706,483.92448367390153,332.55402645927376,553.2757792102567,320.69829673704817,272.4359335840696,
13,294.1811322233181,397.70017171114597,679.5276388043198,481.33365693798316,684.4100846675077,691.8928485309194,325.29465216805227,483.17660521365434,706.1771040532647,274.53340025914224,330.72082194434756,487.1061455147276,
13,697.8452801346189,503.0922997499206,698.8970556292609,498.53862396643706,699.847684317748,699.2819751707583,313.25238287982717,483.8010718814256,700.9349583951522,279.5279653332626,339.30408290791047,491.80433945680375,
14,662.5985530517193,333.394754525205,293.167101481907,314.348116629912,308.91991628790555,290.5344388136985,295.0252257637934,522.9800183864412,492.5046508090474,341.2899886014446,651.3114137075227,517.7633831406075,
14,626.8337770946357,356.35559396615486,298.1225979624543,313.97449131254604,376.9321135261666,641.9828913379832,394.46203532186934,555.147422292924,506.7339597702975,415.9118670761805,633.3872478650701,494.0963281028694,
15,663.059189865567,399.7254344253673,460.28986554845864,645.9231056667917,431.42899316361854,456.05970984285995,631.8248404568137,378.5287931823813,456.9548983389644,416.409524360049,378.4875493573658,372.81746555837344,
15,697.017062835672,561.1325296847656,388.74163555532664,671.8593940530757,488.17926786608064,449.0687032104532,627.4242026077184,382.8844987713708,452.63725940383466,416.63502794914285,378.52239892522704,372.45063569718616,
16,486.54673420718973,398.37735398610374,635.7486293085867,680.1030286151571,468.0089200373041,358.80851120909927,662.2696955377262,454.1712981474123,597.2986463408586,558.1216170457774,526.6329797382991,460.2958071530916,
16,484.376641245695,402.29181467379885,639.3982653813331,681.6780794695345,472.2370986440432,362.44127834923364,742.8508227915707,536.7699665233974,592.9694628537347,642.0014689515556,612.9661647527682,487.37317948234295,
17,481.1472199629457,390.5284564155551,458.55146084709327,699.3817500485892,654.8704216799125,375.20434862974923,689.6906225881195,639.5913950653711,728.8213047956417,489.46595440587777,438.54108408443267,641.8136281382658,
17,492.8936233235155,391.50561609424796,466.63536883221775,673.513090813959,629.9306694175872,369.82262071464953,502.44396848797925,613.3989034121224,717.557096778573,469.88336290664927,479.888534398657,653.4195803968378,
18,668.2042512204584,450.0905776320438,666.4863672617637,671.6058760193417,511.23821582899814,476.617333193162,457.2912412585628,705.7557961150096,505.22079258998644,366.91026670415795,678.9822385317128,496.72385646243265,
18,696.0628357271178,495.55307234111746,696.1094622735752,691.6777715300306,532.2933555109074,491.74083643941844,505.5829485669909,694.9199164703952,499.63535172196595,494.2321757056623,702.877427037224,499.06531774157696,
19,662.8406002488122,486.85324718898227,660.0425589379337,670.7027565882203,683.1846611859143,682.9151043496769,353.64817333408104,624.8123134399282,690.0293808046731,259.514835617396,411.193421414814,500.46692548114186,
19,654.221839778152,488.66756607722016,653.2861268415552,684.2935343912461,704.2643894412124,688.8937832676843,447.4012747196979,623.4561796826964,594.7777691451403,339.0227965718531,412.25079039288147,426.74254940675854,
20,486.4320848354512,411.69648394042747,646.4280156071945,676.1384155885464,636.302295509023,411.1115974291162,605.5581664643167,453.40489949022134,518.0567271649919,451.7600121506324,541.6366740429887,665.5658386859636,
20,491.41221877913716,369.68800847181507,467.23206894786443,689.6703172395244,643.9634699442389,367.4366374514618,598.7414326908403,414.26555452853563,579.6494936238224,383.2385853265602,373.7353936853075,548.7885555072132,
21,298.93575259697286,317.57546148778977,489.70070023820693,299.5434624803012,465.4645617203927,329.1094494707123,409.391043151403,597.0097336208363,446.6387983763264,571.1467809936719,613.8228280007257,601.8427656476497,
21,302.88238913039805,350.0645913216679,491.0903920139405,474.6353323203487,455.0232352917735,314.1710156240068,393.4202865676804,387.3527564165332,407.2076547766736,536.5474198763891,485.87425471407136,564.4667852899612,
22,470.96867571822463,445.456803948761,674.8409125499237,666.5024482186537,508.75779217886986,655.9359966580815,358.73288956533054,677.139752229144,516.4577939714391,283.3408660114168,504.5118674815209,487.40814908321033,
22,480.17510962885336,423.7387438993195,673.3663451872676,676.5888232854402,471.599878006899,506.4453787010641,357.3904759608462,699.2104888008222,642.3732499819887,273.23171519124014,500.0319637020529,526.2672198657118,
23,690.8816346288548,398.3816834174924,275.449849940658,667.9528561432872,650.0069039465652,345.7749422341267,444.4619838437927,509.0856231736103,489.8945041623094,604.8955842150416,653.9755338167153,519.9381788485196,
23,676.8044168033553,376.232766008789,283.381372529024,483.3288020941296,650.36125375375,358.09404215709986,415.3751276481838,514.7560428572033,488.0199190354225,597.7408049990627,668.6697058393117,517.5629332318067,
24,391.01801813659523,659.5500553121584,498.0644449413468,665.5056042783185,522.9869562268469,705.1687499942936,741.6714685876151,643.4943653453857,673.897049464523,633.5446867281829,427.42318426751046,511.53436994398555,
24,393.7686845741116,671.5947908046347,499.79852885453744,648.7930660401996,513.0338146629531,690.0451677181826,467.3353017999692,597.8784598150611,411.7510205913265,500.56740908884683,465.6852783981233,404.67812044944486,
25,485.5932720007285,496.50658075879926,702.0813789236015,367.9355651105339,671.7126540952047,705.6692770673454,676.1925194404361,685.9129961475262,713.7971709314545,524.7340965314263,523.4904196641626,680.4043934762601,
25,436.60348975987245,467.43668171074216,665.4930336003072,358.11250402163313,652.6427200545827,675.3493791656075,712.4434591982814,676.9152628688645,728.3966366209526,664.5314958439693,560.4145345053878,660.0175498794833,
26,699.5516497781643,699.6927292739344,499.4292528270278,498.76703852747005,502.347010795689,698.8526412752921,695.8997532559239,507.81421820382417,696.7475434728145,506.45483330498325,489.4268651972026,505.2441284793984,
26,415.68131309451906,639.801430128792,519.5056772558997,485.45745545726527,447.6809968625896,515.4675888116815,700.4378390267941,513.2640458587099,695.6406872732023,497.33932791668155,489.6508826674652,505.99249503348494,
27,321.6482691719257,689.0486015363906,699.6793048113814,296.3626085586038,493.92564538200156,698.5494857699495,340.91872620435305,592.3761090977438,405.48853370229705,307.3257808392863,405.02785343561965,418.5130470961886,
27,272.88309570496256,419.66079583486,680.2043104446635,279.17127880746057,485.2085247426371,655.5701428213087,344.5281552741331,591.7504045512027,417.6322354874094,300.96947001117127,403.335586010193,415.72320838115513,
28,487.9864007788184,688.3613042585894,702.5171262229458,372.47873942802545,662.5104565864148,521.5319849112147,307.2368885553208,509.35778844789223,475.21884124046807,301.20233989044334,475.78355425418397,340.68832833232324,
28,487.1884716797142,692.9692159837206,705.8462219825673,384.4152349985582,651.8151823019624,509.50241856369774,434.5187027907277,515.0553328626738,360.99243670868464,371.4774644963065,448.77774508099253,283.6437849404975,
29,676.6484091070591,475.1667570371206,657.9316259323319,682.8939393938074,442.809237478276,343.4694391629245,446.2544232234612,628.2050535618876,657.95448114928,357.12572435463056,411.01706456831766,532.8977739631279,
29,664.8680501293206,491.2158863254025,664.6819757538738,495.40362015944976,408.20661459565184,337.696031471489,444.27065258108075,614.0761193411012,563.7403417573661,367.9869182561863,401.6847266954212,468.6817125235957,
30,654.4428546398908,345.16953406042444,293.0062710035358,381.2647432814478,470.09924143213334,289.563702151266,602.7385227084715,417.384905799552,431.0241073202542,429.02920776843865,427.17707134150197,541.7712093744669,
30,646.8881870644649,381.3054946047656,478.63597608997935,346.6017105067346,461.27948408019085,312.13670420471055,294.44835787453064,429.1570792084374,389.52708545967937,295.27191012487117,444.53912108057756,581.6517141998677,
31,505.7756461061459,698.4758796376849,699.0014921249298,690.5590983301769,694.1897541827451,509.30160466246565,535.0764899098293,555.4541073892394,448.36277987114863,663.4526795121543,623.844369284833,389.93127770210356,
31,510.4927841368126,700.4694387860661,677.959767980778,709.3975639046685,607.5759992254948,441.33432110761777,549.3573668040134,465.35795781479476,448.7577611999293,644.6362149056604,528.7519837998517,372.3304321406462,
32,503.9004106785829,692.3343151837596,704.8678709098388,699.4943116484727,500.02870448586134,491.2728561626066,663.8296619392934,532.2311498989834,389.90819533022096,565.0506378030196,649.1036674677672,608.9378066974023,
32,530.4311402653741,597.0085102697352,426.19927728276804,706.0361033881164,498.0875456711203,463.86459974171646,663.8136699213281,536.3161112143315,363.89935928682564,565.9447607987355,617.0911160294257,495.2011194998179,
33,295.1348234783957,331.3992712813694,661.0317650901065,284.5743244945219,308.0412232431869,318.91063386968835,678.0212082562672,416.88046799754125,467.7429015775234,710.8544784910397,640.6983690716297,523.3174843496755,
33,299.5199081537658,333.1065562984838,663.5619104915553,272.05161048330274,304.9950239826115,322.8199420263243,411.25350975764127,394.52632554841983,550.1219171522539,535.5794572110372,658.8649649434697,617.2490156529243,
34,509.5892608469763,505.21275215634756,657.2716947360846,491.1442770294833,637.6522154226739,427.70254105243674,361.1887837065621,355.3773221704535,606.3424562101854,401.3336668637545,345.594065031185,393.7586487043081,
