,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,495.69257701639657,718.6889573538199,672.8695817556527,509.31004955350386,660.5512653729708,551.0974087127913,506.19718717667956,483.7176416370593,545.8636498856299,485.4177054509768,541.9897852738908,634.6565157102401,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,496.70175489835066,718.1162999606775,672.8885999335419,508.801000435414,660.6917367603502,551.2865784709774,506.30913591830506,483.605706172111,545.8190143091058,485.3404878225005,542.0113720778861,634.7006611361285,
3,495.6516237704792,717.3976781435395,672.4547889599764,510.8256319797235,661.998170434422,552.1485221535892,498.198126014489,480.14678840218363,545.8259863517434,497.00430811411303,538.1132417666411,637.1375596160967,
4,496.7623218595229,716.9664484690721,672.6550154103672,508.4624353934011,662.8281979690041,551.7755634132162,505.2893655732595,481.625269829893,534.7772216893615,486.0777831375004,544.5070044513054,647.0136991367289,
5,497.0496370511672,714.8724865845428,675.9111812532522,508.22853882077516,665.0459964671319,548.6819155366325,505.0910598386238,480.17399149853617,535.2192154724275,486.85028600020945,544.3401765950143,647.2476779531827,
7,498.3123297657322,714.0769796748401,676.0467319166675,507.5908461491235,665.3863729863007,548.7154516653652,505.1317030690826,479.8989696822101,535.2439925078943,486.9299507128506,544.3187903777639,647.2924856717008,
11,498.31233053409716,714.0769806018355,676.0467326028463,507.5908470202002,665.3863739202822,548.7154522909344,505.13170363539626,479.89897016472395,535.2439929695995,486.92995115782657,544.3187907757471,647.2924860772727,
23,498.3123307595896,714.0769807170984,676.0467327446556,507.5908471418526,665.3863741259976,548.7154524507089,505.13170374295106,479.8989702638904,535.2439930626313,486.92995125322784,544.3187908554673,647.2924861447239,
24,499.0858581315441,709.5521342724267,684.1871925433909,506.5762361490437,670.4500841447854,539.6064008283275,505.0299275922506,481.04646629135294,535.2501777238601,486.6488038360607,543.8562324501149,647.5428725185932,
25,499.012934953133,708.1411925378777,683.4814778510031,506.169522310077,673.6039557141339,540.78980802668,504.6806193847988,477.3509849776357,521.9802671255842,489.2319691389673,540.8086999786441,665.0093473661283,
26,498.99753175066263,708.1243526767976,683.1600980440878,506.1659097823552,673.6513204892292,541.4568039042499,505.19788543656745,476.2529874352047,521.6859626897693,489.5361713123137,539.3771794406924,666.6256134230471,
30,498.87149106806197,708.4340988797112,683.4735476267912,506.0888128700342,673.9398592115086,540.4404507539668,505.17106087688467,476.7668869220677,522.007684687336,489.5351937774737,538.9319675091646,666.3386762874891,
31,498.6462304654354,708.2832532595962,683.2377205051747,506.6066280400258,674.4097546658569,540.9318510823438,504.2363888819674,475.2161213157363,525.3302663629092,494.1600699798582,530.7689614286362,665.9751540657585,
33,498.64617036999937,708.2833169615959,683.2377153406325,506.60666943745673,674.4097353794218,540.931822568525,504.2363936034417,475.2161221451999,525.3302659049775,494.1600641167848,530.7689621124055,665.9751640184127,
36,498.6461731296524,708.2833141988332,683.2377156414574,506.6066676739593,674.4097363369286,540.9318239094429,504.236393484868,475.21612220980154,525.3302660028514,494.16006445375393,530.7689621648717,665.9751636390226,
39,498.5881140871812,708.2431451112918,683.293382063243,506.7592465141896,674.3958851934185,540.8510999020398,503.20689773626543,475.75037735054065,525.4331794254874,495.6459327120231,529.9033664734342,665.92476347116,
41,498.5880443385945,708.243216721208,683.2933748110331,506.75929193501815,674.3958617858922,540.8510663474319,503.2069023866336,475.75037599233184,525.4331778781273,495.6459253066825,529.9033655168299,665.9247739678327,
43,498.7931468928305,706.9303993483262,685.2455520237309,506.5999780315097,675.7564252754664,538.64858730032,502.67391041441385,476.03423516488584,525.473449841546,496.2157542013833,529.5726065119819,666.0181299652112,
47,498.7927911465663,706.9307518848285,685.2454985063041,506.60019340132715,675.7562941428553,538.6484165024348,502.6739223152588,476.0342150983549,525.4734324279153,496.21570572115985,529.5725922280074,666.0181738761819,
50,498.7599582521466,706.6932367547352,685.8430348241887,506.3433169369564,676.8449210248361,536.8800782090306,502.89227015255676,475.860525762093,525.3209296500498,496.2239863865737,528.5179896275915,668.1122266962543,
53,499.07112859383614,704.2736794470676,689.9848080420637,505.6939813362754,680.6934585912289,530.4711350859731,502.38891999866814,476.2523910902982,526.2017432781541,496.76454710940544,528.0522522341124,667.5585055469502,
58,498.9043219404999,704.2312678726089,689.9234176262519,506.10782515518275,680.5872170655051,530.6622999073131,500.46325165341045,476.67989875851896,526.154002607753,499.0300122292463,527.4412411825999,667.6003232189966,
59,499.2360991296409,704.5276039939829,690.3114276249421,505.8413942361467,679.3140286658678,530.173025267229,499.7659278325808,482.392978866826,525.2551004061231,498.4599915281771,526.3563404205752,667.1067873683836,
63,499.23609863874026,704.5276053826243,690.3114278674196,505.84139529833567,679.314028845019,530.1730252437542,499.7659285205467,482.39297948916015,525.2551008444334,498.4599919428103,526.3563408898328,667.1067879090383,
65,499.41970882932236,701.4656259353795,696.9673201250956,503.8172748125851,688.5976467997202,514.9661790921052,500.38381178968655,482.94995022965037,526.3138751970002,497.88324415645644,525.5029268787833,667.1708863724018,
66,499.5309425306027,701.5944820306418,697.1727657667711,503.6136805513931,688.4259368634523,514.320118375381,500.2417644677199,485.10048277796426,525.7495664140474,497.4956467285053,525.2494786780161,667.2294635928556,
68,500.46735475399544,701.1066020164553,697.299628043227,502.95744913918156,688.8082928636668,513.9876041571059,500.9410089346072,485.23054916859024,525.6136420582311,496.7745242887066,525.0279090159099,667.4357220466363,
70,500.46735446288966,701.106601730591,697.2996277607047,502.9574488447007,688.808292508896,513.9876039154866,500.9410085646588,485.23054879881016,525.6136417438468,496.77452397999724,525.0279087417032,667.4357217771429,
72,500.39146196593947,701.0815354852439,697.3857247989396,502.86863502528627,689.3610020174484,513.3372860762875,500.9836864665933,484.7384141026866,525.2333803679619,496.7230973447469,525.4695453835963,668.1448791021035,
74,500.39146121163304,701.0815346669921,697.3857240459902,502.86863420775444,689.3610010895576,513.3372854484717,500.9836854777178,484.7384131266096,525.2333795724389,496.72309652244934,525.4695446593887,668.1448784127574,
84,500.6129520499596,701.3750757037039,697.7031433191459,502.6361160711634,688.5040836736943,512.7170510409225,500.61447683290737,489.5891244504542,524.7146328987877,496.38540448795794,523.1437832254693,667.8951075655318,
88,500.6129519816946,701.375075629827,697.703143251185,502.6361159969366,688.5040835899631,512.7170509846461,500.6144767417221,489.5891243580459,524.7146328297667,496.38540441213917,523.1437831624855,667.8951075057422,
