,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,611.2211767763516,733.0747452649733,712.443866963246,470.5221934085073,616.0837276611367,679.8666751997031,427.0210364332914,499.9347132309074,385.577909039663,384.1137246922905,431.47055901365326,305.76610337604075,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,611.2211757496929,733.0747468081302,712.4438630440485,470.5221906641319,616.0837248267861,679.8666758096996,427.0210353953775,499.9347117445339,385.57790903667194,384.11372392860585,431.47055691823954,305.7661023435906,
3,654.2998624855196,706.9448647417813,717.9636004893362,449.4114126600272,624.7997382490885,679.3304078682928,428.3631773891416,501.81637158128984,384.567139069953,382.2763507460162,431.67961188773756,304.1677533586492,
4,654.299864019294,706.9448664926695,717.9636022006256,449.4114140849544,624.7997402694825,679.3304095541599,428.36317909264415,501.81637353033705,384.5671403528551,382.2763522547852,431.67961361034315,304.1677544691012,
5,654.4815174604463,706.9605716511785,717.8441248832606,448.76153793871845,625.0166825757038,679.5108273449823,428.82485663173003,501.7585903128207,384.3294383108795,382.95597974232066,431.5841848189332,303.5530359027293,
7,656.2461501750521,705.9150663630295,717.9149737287577,447.93228228993104,625.2223723177527,679.9267692233166,428.881857117076,502.2983641735061,383.2100913527995,382.6511673413059,431.93085906549203,303.45400417855257,
12,658.0161203378447,706.6322044522407,716.1102509342529,444.6114832949618,622.5050866798813,686.0319832157031,425.0211328122928,518.4581020172469,370.2296492502256,378.29457905145347,445.4418001357073,285.68796242928266,
17,658.0161198135943,706.6322038957206,716.1102502652728,444.61148276825435,622.5050859240072,686.0319826487137,425.02113223069233,518.4581013042912,370.22964883233584,378.2945785303336,445.4417994710387,285.6879620402265,
26,658.0117388288068,706.6511661486077,716.1613030797979,444.6108781108719,622.4633135759408,685.8791713353559,425.2715234284986,518.5846389037953,370.2210701722641,378.12192262184703,444.77860990538136,286.6547422419145,
27,658.1463424405424,706.8691836725742,715.3083394896101,444.8196498152481,621.2973976568,688.4287007260194,425.12963953287044,521.1618103571514,365.4732403393212,375.99978996048856,450.15390301665695,281.984145921874,
32,658.6744314393784,706.1655651028124,716.453371668067,443.10968924966744,622.6757627265359,687.147390523451,424.7149314450063,521.2189364809881,366.73540575717453,376.7837829099704,449.37739384409264,281.92006118548244,
33,658.6744312843595,706.1655744609822,716.4533637107552,443.10968296334704,622.6757540909878,687.1473965340982,424.7149335493029,521.2189407740991,366.7354088775169,376.78378089588404,449.37738831789596,281.920055103798,
34,658.6744323333131,706.1655757755564,716.4533649433187,443.1096839213228,622.6757555093006,687.1473978109669,424.7149346772783,521.2189422607145,366.7354097867249,376.7837818913533,449.3773896236942,281.9200558607086,
44,658.7676875915656,705.5468349181814,717.4610594961797,443.05471727267354,622.8916251930784,686.7626481416535,425.26525197045345,521.0882249095537,366.3403548216102,376.11211297813344,449.65923058329594,282.1399535750563,
48,666.0472184282609,701.4246473572211,718.0771111864912,436.6209235277041,626.2634923493424,686.610347067969,425.2411588102781,521.4013792639769,365.486583161431,376.32071663128306,450.13403790547284,281.4427014596955,
49,666.0472171722271,701.4246417579177,718.0771139233354,436.62092421255437,626.2634931923349,686.6103428653104,425.24115716273445,521.4013771372289,365.48658067271134,376.32071521564575,450.13403754280955,281.4427012731527,
50,664.3298710225054,694.9787186570211,718.6287151463451,435.3986784541837,643.4992491801121,681.8205715319057,424.41457630139473,520.5341920664565,364.9342631224073,376.5038555723693,450.69987676304777,281.18617956746584,
