,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,863.6297322842186,985.8058052417925,782.8032704689923,0.0,306.7986159507963,913.292265084215,407.1122155093486,663.3653849295374,0.0,0.0,211.0517065792881,0.0,
,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
1,863.6297218578621,985.8058319288034,782.8032333549987,0.0,306.7985949184906,913.2922932094885,407.112219627036,663.3653842572102,0.0,0.0,211.05169749729774,0.0,
3,877.7004408122643,833.1515357424319,903.9335120589417,0.0,373.21157560798713,850.4202504574399,402.93102980272016,667.3552123809964,0.0,0.0,204.6321936790064,0.0,
4,877.7004424031816,833.1515368775471,903.9335145082733,0.0,373.21157876598164,850.420251074438,402.9310313756899,667.3552150220517,0.0,0.0,204.63219509242333,0.0,
5,877.3438740161221,834.6186372411611,905.4484894772589,0.0,371.974916711705,848.3094708750626,446.1283311986563,661.068960208936,0.0,0.0,199.29072485466494,0.0,
7,952.5876601895392,849.7078646561048,891.8178773133158,0.0,354.3427079765689,843.5191849742009,446.12089565977266,668.4203047500494,0.0,0.0,193.78938203825007,0.0,
12,958.5623482460287,869.154717852613,852.9810592354753,0.0,331.23740369987024,901.7760813033374,429.6601965946525,681.2069520522077,0.0,0.0,156.51789099523896,0.0,
17,958.5623475393854,869.1547180262922,852.981057614892,0.0,331.2374021277271,901.7760817050223,429.6601961975221,681.2069511629295,0.0,0.0,156.5178901823866,0.0,
26,958.7348040074039,869.6511775241079,853.8440730889427,0.0,331.3574419526568,900.961114091552,431.39533938933835,682.1884359195685,0.0,0.0,157.5276876936331,0.0,
27,956.3242771737949,878.2104335592077,832.7862267565274,0.0,325.39493720838146,931.045555977305,517.8552747791044,626.5295653098747,0.0,0.0,154.56193429611756,0.0,
32,944.8401190415988,934.2762893997867,680.054232257462,0.0,296.253774072328,1002.7591123383547,527.8103810634217,624.8456613471784,0.0,0.0,157.15490987136658,0.0,
33,944.8400984856939,934.2763775290963,680.0541413906683,0.0,296.2536952326314,1002.7592057501258,527.8104057850684,624.8456918992384,0.0,0.0,157.15480614575483,0.0,
34,944.8400993900901,934.2763790038779,680.0541424069202,0.0,296.2536970642062,1002.7592069074005,527.8104069380488,624.8456938839919,0.0,0.0,157.1548069283329,0.0,
44,971.8530289200306,845.0214359363412,944.8439426818476,0.0,311.11109690917687,943.8187622065493,522.8421211506501,629.0968844792518,0.0,0.0,144.46916592130378,0.0,
48,879.736844060428,872.1303885116454,938.5549706979376,0.0,310.51825728845813,943.8404355218671,527.4562138160942,631.6189828886821,0.0,0.0,149.62014896225784,0.0,
49,879.736853154319,872.1303467298242,938.5550267647006,0.0,310.5182827380337,943.8403925389282,527.4562045221629,631.6189770462827,0.0,0.0,149.62016449535983,0.0,
50,884.7868388778429,860.6232013763442,937.7341599405395,0.0,357.33118501831467,896.5949473565086,522.7819279373946,626.5994554214641,0.0,0.0,168.09166424813176,0.0,
53,899.6855665356103,829.0819900352465,971.5815822603702,0.0,339.09016687665877,999.8001669718959,523.1961435843118,617.6691789873927,0.0,0.0,170.5932554362436,0.0,
54,897.1938695553563,939.9654149766144,877.931477567552,0.0,345.394246965599,950.6501351827318,518.4087066275366,623.8187269500061,0.0,0.0,181.8970801513117,0.0,
56,1140.2693741111977,851.5680072265658,916.1369961383288,0.0,341.5903591474404,948.2682445977559,510.43546762376735,626.7697753460976,0.0,0.0,170.79505280571382,0.0,
