,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,692.6860648367862,671.9463921861626,538.9712332816479,512.1043983752644,552.4563512664666,632.0501066492737,614.0143329348477,550.7282437705741,666.1493945746633,544.7096395086221,472.2303393731513,536.2905341691117,
,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
1,691.5260824879265,672.8407796217454,540.140485135786,508.3078199829506,551.7353839616103,632.5735901272909,623.6796802753528,546.091841647002,667.2449259357409,555.362707786168,467.19119279146435,536.6331540695774,
2,691.3580677898304,672.9495566077455,540.1541180826259,508.57459794089374,551.5507885264838,632.5526651587511,623.5789150846072,546.1522966084876,667.2468584220896,555.3282317747684,467.22389521312846,536.5921034145688,
9,699.0026078278694,665.9814005734207,548.6138244426718,508.1523812815035,542.7586331254523,637.3056034331162,622.6818418900656,547.650440095693,666.1650621950137,555.4841059428675,467.6618423348451,536.1692663320944,
15,698.1633779031674,665.3699149988786,548.7031779238239,508.1565078112265,544.7412589723444,639.1007005778421,622.7125827027833,547.9051671716584,666.1566677319047,555.2805025693838,467.4356935237728,535.7745393112646,
17,698.5813268675233,664.6774049357035,548.2461727299752,507.94164318080624,545.1138819514656,639.4383444572977,622.5629698582864,547.9308108829842,666.2090661994372,555.1627418846186,467.3632544538415,535.6689183517778,
28,698.1287425542249,664.6729039880312,548.4474534024889,508.6069807771679,544.2363787390867,640.4606851386143,626.8915000548371,543.9954432452635,664.7550811767651,558.9338045720644,464.07382682033074,539.4239977832303,
32,698.0195135113015,664.3739592982447,548.2397374942428,508.55114968059763,544.1181201256838,640.3580001126327,626.7622598011568,543.7981859827752,664.5936154305316,558.8027558068757,463.8957217555561,539.269268803964,
38,696.9603834508123,662.5293171849053,547.7669948922672,510.5022421126402,547.19112830859,642.914778611072,627.7295988091795,543.8490588964885,664.8323010872341,558.3561718530714,463.2714682606774,538.9321276035447,
41,700.6321357061566,665.901148889934,549.3629249794639,502.95982223231067,542.3767836560769,638.9958834593184,685.0087421522919,533.7755045167075,663.2700832439731,520.7456029417399,460.05927303988256,537.4060976454239,
47,700.340301889339,666.6780036628461,549.9026926549477,502.4301695774182,542.0590027498214,638.8196645947992,685.0387541427067,533.8035886472167,663.2005827357244,520.8227829634983,460.0720798239748,537.3882769462057,
50,699.0441780910519,663.6646006667696,549.1830353152695,504.42196153643664,545.8183272105845,643.1625007320747,684.803839311428,532.904281855615,663.6087297319269,520.8333895439256,459.82013400483805,537.4313729102988,
61,699.3027806888341,662.7151819612378,548.9746051493488,505.68549543726414,546.3014268685989,643.4683808636413,681.9582013281992,535.2116400023639,661.2892648237653,514.9254532751814,465.8766119384744,536.8528438194161,
65,699.1837105880871,663.1304807414521,549.2011771563808,505.4389123389517,546.1316945989752,643.2794319286797,681.946661375915,535.5945361144977,661.3672983610599,514.5735455980824,465.7700293723006,536.7105311621372,
71,698.9359915818058,663.3014959318785,549.3842573660068,505.18214961035727,545.9804313407449,643.2029456293376,681.7910625884376,535.0347544980648,661.1052487840009,514.9625132650601,465.92484260091874,536.8785910436088,
75,700.3548600346837,663.6778641774661,548.7020098449185,501.6306500970433,545.8680434249737,644.0998630500892,689.866196789183,529.6670490085438,664.2018311270623,513.7767721175771,465.299273329782,538.3201193364437,
78,700.7177818351029,663.0441547132439,548.1701476992303,502.07267750765754,546.0407913009136,644.174008429097,690.1793125335945,530.2728155288976,664.4715721470782,513.210445923782,464.86223786339417,537.9342582508431,
79,700.6288180746669,663.4943178270319,548.2437724572977,501.63353152723846,546.2914153009059,643.8382732595104,693.0855295784696,528.1899015036278,664.1569272184176,509.13111606774567,466.9465993886144,539.6887369760107,
83,700.584958001979,665.768008743629,548.2968033292593,499.2052356115417,547.4777012905348,639.5644669995935,688.6490366361811,515.1608642906,697.5173591054571,516.9691794901435,477.58271922826333,507.66283742361196,
87,673.5999634615665,691.695103169749,537.9942566316865,504.46894950404266,538.3345721202058,647.4928778926312,688.7236276524121,513.8899342641246,698.2590573782926,518.2258297646081,477.9864938101666,507.2118753358516,
90,673.6265297256324,691.7179965490395,537.9903954558401,504.49922525082246,538.3692319687335,647.5111204350725,688.5771495900872,513.7681917828422,698.3767004547426,518.3155265262079,478.4360915866822,507.1151983023381,
93,673.6065876068051,691.4639308047084,538.0593000570672,504.4211780028115,538.6443945373287,647.8325427460658,689.9528726001047,512.12829360713,696.6069094298608,516.2173707736221,479.9756722765038,509.7421795148254,
103,673.0424974500548,689.3291454868421,538.9827622618809,504.5823590656601,539.5871108018384,651.4328865668026,689.6033143733599,511.6949518794724,696.218283337814,516.4986120979167,480.19406678750465,509.5541636256004,
105,673.0146422512963,689.2799428148617,538.9901848097182,504.5703343443191,539.6378007185765,651.5067235655953,689.5985784354463,511.676782633466,696.2062107221029,516.5201965589299,480.2115477813737,509.5641215834987,
113,673.8452692228817,689.3521397312732,537.355426268349,506.1922258280924,540.2769356417406,651.7996708806393,685.3514020106776,512.8519876747052,692.7155370893537,508.5484215732655,485.36765544075774,513.5018203546409,
119,673.2698353697505,687.6179524552948,539.1502778458305,506.4779914953935,539.6899396372222,654.5830763492175,685.6059350083635,512.6160742825215,693.326980919585,509.39034950816455,485.049212640283,512.114888654875,
123,673.3409758552922,687.6549241238131,539.1494872537404,506.5750538803216,539.6444949997862,654.4933064790087,685.4506964879547,512.4418752399737,693.1292049767674,509.20914706987423,485.3374720960439,512.4350371937771,
124,673.2999922638987,687.4574997005578,539.2099858742408,506.6334140226549,539.772444427368,654.7157704656227,685.2769501052193,511.82357371724993,693.048094935,509.3039305746237,486.11975381831036,512.4264491710405,
