,power consumption[W]
,standard,proposed
1,215.55575698275783,227.32057752326855,
2,236.12319125143597,235.52583656503592,
3,165.62868601866873,184.12207763137488,
4,266.000610509615,266.9438500170349,
5,158.1201329683237,177.12904839613088,
6,225.68844920949965,226.62886311918396,
7,202.07616258523922,184.13174188194225,
8,159.74447324185124,157.9831413916764,
9,184.2630464050151,183.78617970680722,
10,229.4342882138364,235.67831932143298,
11,239.16986719427,244.6871778286229,
12,236.53963922613525,254.67057996365054,
13,249.15311793029198,272.4824343364075,
14,276.1806212001436,277.90959343320776,
15,218.20380982806137,216.7872726941051,
16,230.3927671803682,218.67307513385364,
17,199.85171973314652,200.48179734465498,
18,204.70102119197514,183.13484557958364,
19,240.8541823183404,229.0130635596245,
20,185.9112522186887,191.83750074172298,
21,249.02378089113716,234.5371879501991,
22,184.38464259934676,183.71793720330297,
23,235.02471014663436,227.03623010638165,
24,201.3623546341497,183.39061853133015,
25,229.49723167295568,222.8841339315172,
26,181.77757856241723,172.54335980701723,
27,222.18857761367138,220.56390626264428,
28,168.812661768056,182.9640961824116,
29,238.7008333871471,239.02612396159265,
30,195.01370329771066,228.7500323034417,
31,207.75810800614684,228.71085463603475,
32,214.33731914936828,236.37766294692813,
33,262.5156891646218,274.0749626670906,
34,209.42431909465353,184.77953277466818,
35,196.41756545563447,193.3358326189477,
36,220.3167876840877,223.4900978255649,
37,154.76480363934346,161.79311692397658,
38,210.0619505216832,195.51402385517986,
39,215.661276295075,210.52055460642669,
40,240.26052210385973,244.46269509879454,
41,184.74752386523335,178.74333056722813,
42,209.48334989061607,214.6016902850115,
43,181.04862218810413,204.4902391265577,
44,207.45679494411263,206.3751198189022,
45,206.44095730601111,198.5927595272239,
46,228.14110881081535,242.29547230947577,
47,268.57836866424947,278.13456311411727,
48,219.93893304632033,203.39088539545867,
49,184.94654368803106,200.0722531201241,
50,230.54098157579847,231.21789801297712,
